fixture_id,date,odds_source,fetched_at_utc,home,away,home_norm,away_norm,bookmaker_count,odds_h,odds_d,odds_a,src_book_h,src_book_d,src_book_a
1379045,2025-10-18 11:30:00+0000,apifootball,2025-10-17 21:41:18,Nottingham Forest,Chelsea,nottingham forest,chelsea,6,3.8,3.82,2.04,1xBet,1xBet,1xBet
1390907,2025-10-18 12:00:00+0000,apifootball,2025-10-17 21:41:19,Sevilla,Mallorca,sevilla,mallorca,6,1.93,3.64,4.75,1xBet,1xBet,Bet365
1388363,2025-10-18 13:30:00+0000,apifootball,2025-10-17 21:41:20,1.FC Köln,FC Augsburg,1 köln,augsburg,6,2.07,4.0,3.59,1xBet,1xBet,Pinnacle
1388365,2025-10-18 13:30:00+0000,apifootball,2025-10-17 21:41:20,1. FC Heidenheim,Werder Bremen,1 heidenheim,werder bremen,6,3.01,3.72,2.43,1xBet,1xBet,Pinnacle
1388366,2025-10-18 13:30:00+0000,apifootball,2025-10-17 21:41:21,FSV Mainz 05,Bayer Leverkusen,fsv mainz 05,bayer leverkusen,6,2.96,3.6,2.53,Pinnacle,Pinnacle,1xBet
1388367,2025-10-18 13:30:00+0000,apifootball,2025-10-17 21:41:22,RB Leipzig,Hamburger SV,rb leipzig,hamburger sv,6,1.47,5.36,6.73,1xBet,1xBet,1xBet
1388370,2025-10-18 13:30:00+0000,apifootball,2025-10-17 21:41:22,VfL Wolfsburg,VfB Stuttgart,vfl wolfsburg,vfb stuttgart,6,2.66,3.76,2.68,1xBet,1xBet,1xBet
1379039,2025-10-18 14:00:00+0000,apifootball,2025-10-17 21:41:23,Brighton,Newcastle,brighton,newcastle,6,2.7,3.66,2.72,188Bet,1xBet,1xBet
1379040,2025-10-18 14:00:00+0000,apifootball,2025-10-17 21:41:24,Burnley,Leeds,burnley,leeds,6,3.55,3.36,2.32,188Bet,1xBet,1xBet
1379041,2025-10-18 14:00:00+0000,apifootball,2025-10-17 21:41:24,Crystal Palace,Bournemouth,crystal palace,bournemouth,6,2.31,3.45,3.44,1xBet,1xBet,Pinnacle
1379044,2025-10-18 14:00:00+0000,apifootball,2025-10-17 21:41:25,Manchester City,Everton,manchester city,everton,6,1.42,5.2,8.7,1xBet,1xBet,188Bet
1379046,2025-10-18 14:00:00+0000,apifootball,2025-10-17 21:41:25,Sunderland,Wolves,sunderland,wolves,6,2.54,3.18,3.27,1xBet,1xBet,Pinnacle
1390901,2025-10-18 14:15:00+0000,apifootball,2025-10-17 21:41:26,Barcelona,Girona,barcelona,girona,6,1.25,7.5,12.0,1xBet,188Bet,Bet365
1379042,2025-10-18 16:30:00+0000,apifootball,2025-10-17 21:41:27,Fulham,Arsenal,fulham,arsenal,6,6.79,4.55,1.56,1xBet,Pinnacle,1xBet
1388362,2025-10-18 16:30:00+0000,apifootball,2025-10-17 21:41:27,Bayern München,Borussia Dortmund,bayern münchen,borussia dortmund,6,1.39,5.91,7.95,1xBet,1xBet,Pinnacle
1390908,2025-10-18 16:30:00+0000,apifootball,2025-10-17 21:41:28,Villarreal,Real Betis,villarreal,real betis,6,1.97,3.9,4.1,1xBet,188Bet,Bet365
1390900,2025-10-18 19:00:00+0000,apifootball,2025-10-17 21:41:29,Atletico Madrid,Osasuna,atletico madrid,osasuna,6,1.39,5.13,10.4,1xBet,Pinnacle,1xBet
1390903,2025-10-19 12:00:00+0000,apifootball,2025-10-17 21:41:29,Elche,Athletic Club,elche,athletic,6,3.85,3.38,2.2,188Bet,1xBet,1xBet
1379047,2025-10-19 13:00:00+0000,apifootball,2025-10-17 21:41:30,Tottenham,Aston Villa,tottenham,aston villa,6,2.16,3.7,3.6,1xBet,188Bet,Bet365
1388364,2025-10-19 13:30:00+0000,apifootball,2025-10-17 21:41:31,SC Freiburg,Eintracht Frankfurt,freiburg,eintracht frankfurt,6,2.58,3.9,2.7,1xBet,1xBet,Bet365
1390902,2025-10-19 14:15:00+0000,apifootball,2025-10-17 21:41:31,Celta Vigo,Real Sociedad,celta vigo,real sociedad,6,2.22,3.49,3.76,1xBet,1xBet,Pinnacle
1379043,2025-10-19 15:30:00+0000,apifootball,2025-10-17 21:41:32,Liverpool,Manchester United,liverpool,manchester united,6,1.65,4.74,5.39,1xBet,1xBet,Pinnacle
1388368,2025-10-19 15:30:00+0000,apifootball,2025-10-17 21:41:33,FC St. Pauli,1899 Hoffenheim,st pauli,1899 hoffenheim,6,2.56,3.65,2.85,1xBet,1xBet,1xBet
1390905,2025-10-19 16:30:00+0000,apifootball,2025-10-17 21:41:33,Levante,Rayo Vallecano,levante,rayo vallecano,6,2.88,3.56,2.6,Bet365,Pinnacle,1xBet
1390904,2025-10-19 19:00:00+0000,apifootball,2025-10-17 21:41:34,Getafe,Real Madrid,getafe,real madrid,6,8.05,4.79,1.48,1xBet,Pinnacle,1xBet
1379048,2025-10-20 19:00:00+0000,apifootball,2025-10-17 21:41:35,West Ham,Brentford,west ham,brentford,6,2.56,3.61,2.9,Pinnacle,1xBet,1xBet
1390899,2025-10-20 19:00:00+0000,apifootball,2025-10-17 21:41:35,Alaves,Valencia,alaves,valencia,6,2.37,3.2,3.75,1xBet,1xBet,188Bet
1388379,2025-10-24 18:30:00+0000,apifootball,2025-10-17 21:41:36,Werder Bremen,Union Berlin,werder bremen,union berlin,6,2.15,3.85,3.7,1xBet,188Bet,Bet365
1379055,2025-10-24 19:00:00+0000,apifootball,2025-10-17 21:41:37,Leeds,West Ham,leeds,west ham,6,2.09,3.72,3.72,1xBet,1xBet,1xBet
1390917,2025-10-24 19:00:00+0000,apifootball,2025-10-17 21:41:37,Real Sociedad,Sevilla,real sociedad,sevilla,6,2.08,3.52,4.0,1xBet,1xBet,Bet365
1390912,2025-10-25 12:00:00+0000,apifootball,2025-10-17 21:41:38,Girona,Oviedo,girona,oviedo,6,1.92,3.6,4.74,188Bet,188Bet,1xBet
1388371,2025-10-25 13:30:00+0000,apifootball,2025-10-17 21:41:38,FC Augsburg,RB Leipzig,augsburg,rb leipzig,6,3.52,4.23,2.02,1xBet,1xBet,1xBet
1388373,2025-10-25 13:30:00+0000,apifootball,2025-10-17 21:41:39,Borussia Mönchengladbach,Bayern München,borussia mönchengladbach,bayern münchen,6,9.0,6.6,1.34,Bet365,188Bet,1xBet
1388375,2025-10-25 13:30:00+0000,apifootball,2025-10-17 21:41:40,Eintracht Frankfurt,FC St. Pauli,eintracht frankfurt,st pauli,6,1.82,4.23,4.33,1xBet,1xBet,1xBet
1388376,2025-10-25 13:30:00+0000,apifootball,2025-10-17 21:41:40,Hamburger SV,VfL Wolfsburg,hamburger sv,vfl wolfsburg,6,2.59,3.85,2.78,Pinnacle,188Bet,1xBet
1388377,2025-10-25 13:30:00+0000,apifootball,2025-10-17 21:41:41,1899 Hoffenheim,1. FC Heidenheim,1899 hoffenheim,1 heidenheim,6,1.67,4.45,5.2,1xBet,188Bet,1xBet
1379053,2025-10-25 14:00:00+0000,apifootball,2025-10-17 21:41:42,Chelsea,Sunderland,chelsea,sunderland,6,1.47,4.9,7.65,1xBet,188Bet,1xBet
1379057,2025-10-25 14:00:00+0000,apifootball,2025-10-17 21:41:42,Newcastle,Fulham,newcastle,fulham,6,1.67,4.24,5.51,1xBet,1xBet,1xBet
1390911,2025-10-25 14:15:00+0000,apifootball,2025-10-17 21:41:43,Espanyol,Elche,espanyol,elche,6,2.13,3.45,3.9,1xBet,1xBet,Bet365
1379056,2025-10-25 16:30:00+0000,apifootball,2025-10-17 21:41:44,Manchester United,Brighton,manchester united,brighton,6,2.08,4.0,3.52,1xBet,188Bet,1xBet
1388374,2025-10-25 16:30:00+0000,apifootball,2025-10-17 21:41:44,Borussia Dortmund,1.FC Köln,borussia dortmund,1 köln,6,1.61,4.8,5.5,1xBet,188Bet,Bet365
1390909,2025-10-25 16:30:00+0000,apifootball,2025-10-17 21:41:45,Athletic Club,Getafe,athletic,getafe,6,1.75,3.7,6.0,1xBet,1xBet,Bet365
1379052,2025-10-25 19:00:00+0000,apifootball,2025-10-17 21:41:45,Brentford,Liverpool,brentford,liverpool,6,4.85,4.55,1.72,1xBet,188Bet,1xBet
1390918,2025-10-25 19:00:00+0000,apifootball,2025-10-17 21:41:46,Valencia,Villarreal,valencia,villarreal,6,3.08,3.65,2.4,1xBet,1xBet,1xBet
1390913,2025-10-26 13:00:00+0000,apifootball,2025-10-17 21:41:47,Mallorca,Levante,mallorca,levante,6,2.19,3.52,3.66,1xBet,1xBet,1xBet
1379049,2025-10-26 14:00:00+0000,apifootball,2025-10-17 21:41:47,Arsenal,Crystal Palace,arsenal,crystal palace,6,1.51,4.54,7.5,1xBet,1xBet,1xBet
1379050,2025-10-26 14:00:00+0000,apifootball,2025-10-17 21:41:48,Aston Villa,Manchester City,aston villa,manchester city,6,3.96,4.0,1.95,1xBet,1xBet,1xBet
1379051,2025-10-26 14:00:00+0000,apifootball,2025-10-17 21:41:49,Bournemouth,Nottingham Forest,bournemouth,nottingham forest,6,1.84,3.96,4.64,1xBet,Pinnacle,1xBet
