fixture_id,date,odds_source,fetched_at_utc,home,away,home_norm,away_norm,bookmaker_count,odds_h,odds_d,odds_a,src_book_h,src_book_d,src_book_a
1388369,2025-10-17 18:30:00+0000,apifootball,2025-10-16 16:21:07,Union Berlin,Borussia Mönchengladbach,union berlin,borussia mönchengladbach,3,2.25,3.6,3.15,Betano,Unibet,Betano
1390906,2025-10-17 19:00:00+0000,apifootball,2025-10-16 16:21:08,Oviedo,Espanyol,oviedo,espanyol,3,2.95,3.25,2.52,Betano,Unibet,Betano
1379045,2025-10-18 11:30:00+0000,apifootball,2025-10-16 16:21:08,Nottingham Forest,Chelsea,nottingham forest,chelsea,3,3.8,3.85,1.95,Betano,Betano,Unibet
1390907,2025-10-18 12:00:00+0000,apifootball,2025-10-16 16:21:09,Sevilla,Mallorca,sevilla,mallorca,3,1.9,3.45,4.6,Betano,Unibet,Unibet
1388363,2025-10-18 13:30:00+0000,apifootball,2025-10-16 16:21:09,1.FC Köln,FC Augsburg,1 köln,augsburg,3,2.0,3.95,3.65,888Sport,Unibet,Unibet
1388365,2025-10-18 13:30:00+0000,apifootball,2025-10-16 16:21:10,1. FC Heidenheim,Werder Bremen,1 heidenheim,werder bremen,3,2.9,3.65,2.38,Betano,Unibet,888Sport
1388366,2025-10-18 13:30:00+0000,apifootball,2025-10-16 16:21:11,FSV Mainz 05,Bayer Leverkusen,fsv mainz 05,bayer leverkusen,3,2.9,3.5,2.45,Unibet,Unibet,888Sport
1388367,2025-10-18 13:30:00+0000,apifootball,2025-10-16 16:21:11,RB Leipzig,Hamburger SV,rb leipzig,hamburger sv,3,1.45,5.25,6.25,Betano,Unibet,Unibet
1388370,2025-10-18 13:30:00+0000,apifootball,2025-10-16 16:21:12,VfL Wolfsburg,VfB Stuttgart,vfl wolfsburg,vfb stuttgart,3,2.67,3.8,2.52,Betano,Unibet,Betano
1379039,2025-10-18 14:00:00+0000,apifootball,2025-10-16 16:21:13,Brighton,Newcastle,brighton,newcastle,3,2.65,3.55,2.7,Betano,Unibet,Unibet
1379040,2025-10-18 14:00:00+0000,apifootball,2025-10-16 16:21:14,Burnley,Leeds,burnley,leeds,3,3.35,3.2,2.28,Betano,Unibet,Unibet
1379041,2025-10-18 14:00:00+0000,apifootball,2025-10-16 16:21:14,Crystal Palace,Bournemouth,crystal palace,bournemouth,3,2.22,3.35,3.45,Betano,Unibet,Unibet
1379044,2025-10-18 14:00:00+0000,apifootball,2025-10-16 16:21:15,Manchester City,Everton,manchester city,everton,3,1.42,4.9,8.0,Betano,Unibet,Unibet
1379046,2025-10-18 14:00:00+0000,apifootball,2025-10-16 16:21:16,Sunderland,Wolves,sunderland,wolves,3,2.55,3.15,3.1,Betano,Unibet,Betano
1390901,2025-10-18 14:15:00+0000,apifootball,2025-10-16 16:21:17,Barcelona,Girona,barcelona,girona,3,1.2,7.5,16.0,888Sport,Unibet,Betano
1379042,2025-10-18 16:30:00+0000,apifootball,2025-10-16 16:21:17,Fulham,Arsenal,fulham,arsenal,3,5.9,4.2,1.58,Betano,Betano,Unibet
1388362,2025-10-18 16:30:00+0000,apifootball,2025-10-16 16:21:18,Bayern München,Borussia Dortmund,bayern münchen,borussia dortmund,3,1.35,6.0,8.0,Betano,Unibet,Betano
1390908,2025-10-18 16:30:00+0000,apifootball,2025-10-16 16:21:19,Villarreal,Real Betis,villarreal,real betis,3,1.91,3.75,3.95,888Sport,Betano,Unibet
1390900,2025-10-18 19:00:00+0000,apifootball,2025-10-16 16:21:19,Atletico Madrid,Osasuna,atletico madrid,osasuna,3,1.38,4.85,9.5,Betano,Betano,Unibet
1390903,2025-10-19 12:00:00+0000,apifootball,2025-10-16 16:21:20,Elche,Athletic Club,elche,athletic,3,3.55,3.2,2.2,Betano,Unibet,Betano
1379047,2025-10-19 13:00:00+0000,apifootball,2025-10-16 16:21:20,Tottenham,Aston Villa,tottenham,aston villa,3,2.15,3.65,3.45,Betano,Unibet,Unibet
1388364,2025-10-19 13:30:00+0000,apifootball,2025-10-16 16:21:21,SC Freiburg,Eintracht Frankfurt,freiburg,eintracht frankfurt,3,2.57,3.8,2.65,Betano,Unibet,Betano
1390902,2025-10-19 14:15:00+0000,apifootball,2025-10-16 16:21:22,Celta Vigo,Real Sociedad,celta vigo,real sociedad,3,2.15,3.35,3.55,888Sport,Unibet,Unibet
1379043,2025-10-19 15:30:00+0000,apifootball,2025-10-16 16:21:22,Liverpool,Manchester United,liverpool,manchester united,3,1.62,4.5,5.1,Betano,Unibet,Unibet
1388368,2025-10-19 15:30:00+0000,apifootball,2025-10-16 16:21:23,FC St. Pauli,1899 Hoffenheim,st pauli,1899 hoffenheim,3,2.42,3.7,2.85,Betano,Unibet,Unibet
