fixture_id,date,odds_source,fetched_at_utc,home,away,home_norm,away_norm,bookmaker_count,ah_line,ah_home,ah_away
1388369,2025-10-17 18:30:00+0000,apifootball,2025-10-16 14:46:16,Union Berlin,Borussia Mönchengladbach,union berlin,borussia mönchengladbach,10,-0.5,2.82,1.9
1390906,2025-10-17 19:00:00+0000,apifootball,2025-10-16 14:46:17,Oviedo,Espanyol,oviedo,espanyol,10,-0.5,3.64,1.44
1379045,2025-10-18 11:30:00+0000,apifootball,2025-10-16 14:46:18,Nottingham Forest,Chelsea,nottingham forest,chelsea,10,-0.25,3.4,1.37
1390907,2025-10-18 12:00:00+0000,apifootball,2025-10-16 14:46:19,Sevilla,Mallorca,sevilla,mallorca,10,-0.5,2.58,1.99
1388363,2025-10-18 13:30:00+0000,apifootball,2025-10-16 14:46:19,1.FC Köln,FC Augsburg,1 köln,augsburg,10,-0.5,2.56,1.91
1388365,2025-10-18 13:30:00+0000,apifootball,2025-10-16 14:46:20,1. FC Heidenheim,Werder Bremen,1 heidenheim,werder bremen,10,-0.5,3.41,1.46
1388366,2025-10-18 13:30:00+0000,apifootball,2025-10-16 14:46:21,FSV Mainz 05,Bayer Leverkusen,fsv mainz 05,bayer leverkusen,10,-0.5,3.49,1.9
1388367,2025-10-18 13:30:00+0000,apifootball,2025-10-16 14:46:22,RB Leipzig,Hamburger SV,rb leipzig,hamburger sv,10,-0.5,1.9,3.0
1388370,2025-10-18 13:30:00+0000,apifootball,2025-10-16 14:46:23,VfL Wolfsburg,VfB Stuttgart,vfl wolfsburg,vfb stuttgart,10,-0.5,3.18,1.52
1379039,2025-10-18 14:00:00+0000,apifootball,2025-10-16 14:46:23,Brighton,Newcastle,brighton,newcastle,10,-0.5,3.25,1.95
1379040,2025-10-18 14:00:00+0000,apifootball,2025-10-16 14:46:24,Burnley,Leeds,burnley,leeds,10,-0.5,3.99,1.37
1379041,2025-10-18 14:00:00+0000,apifootball,2025-10-16 14:46:25,Crystal Palace,Bournemouth,crystal palace,bournemouth,10,-0.5,2.82,1.71
1379044,2025-10-18 14:00:00+0000,apifootball,2025-10-16 14:46:26,Manchester City,Everton,manchester city,everton,10,-0.5,1.95,3.13
1379046,2025-10-18 14:00:00+0000,apifootball,2025-10-16 14:46:27,Sunderland,Wolves,sunderland,wolves,10,-0.5,3.26,1.58
1390901,2025-10-18 14:15:00+0000,apifootball,2025-10-16 14:46:27,Barcelona,Girona,barcelona,girona,10,-0.5,1.55,4.4
1379042,2025-10-18 16:30:00+0000,apifootball,2025-10-16 14:46:28,Fulham,Arsenal,fulham,arsenal,10,-1.0,23.0,1.62
1388362,2025-10-18 16:30:00+0000,apifootball,2025-10-16 14:46:29,Bayern München,Borussia Dortmund,bayern münchen,borussia dortmund,10,-0.5,1.76,3.44
1390908,2025-10-18 16:30:00+0000,apifootball,2025-10-16 14:46:30,Villarreal,Real Betis,villarreal,real betis,10,-0.5,2.6,1.98
1390900,2025-10-18 19:00:00+0000,apifootball,2025-10-16 14:46:31,Atletico Madrid,Osasuna,atletico madrid,osasuna,10,-0.5,1.96,3.3
1390903,2025-10-19 12:00:00+0000,apifootball,2025-10-16 14:46:32,Elche,Athletic Club,elche,athletic,10,-0.5,4.18,1.33
1379047,2025-10-19 13:00:00+0000,apifootball,2025-10-16 14:46:32,Tottenham,Aston Villa,tottenham,aston villa,10,-0.5,2.8,1.76
1388364,2025-10-19 13:30:00+0000,apifootball,2025-10-16 14:46:33,SC Freiburg,Eintracht Frankfurt,freiburg,eintracht frankfurt,10,-0.5,3.06,1.55
1390902,2025-10-19 14:15:00+0000,apifootball,2025-10-16 14:46:34,Celta Vigo,Real Sociedad,celta vigo,real sociedad,10,-0.5,2.96,1.78
1379043,2025-10-19 15:30:00+0000,apifootball,2025-10-16 14:46:35,Liverpool,Manchester United,liverpool,manchester united,10,-0.5,2.12,2.4
1388368,2025-10-19 15:30:00+0000,apifootball,2025-10-16 14:46:36,FC St. Pauli,1899 Hoffenheim,st pauli,1899 hoffenheim,10,-0.5,3.08,1.6
1390905,2025-10-19 16:30:00+0000,apifootball,2025-10-16 14:46:36,Levante,Rayo Vallecano,levante,rayo vallecano,10,-0.5,3.39,1.5
1390904,2025-10-19 19:00:00+0000,apifootball,2025-10-16 14:46:37,Getafe,Real Madrid,getafe,real madrid,10,-1.0,41.0,1.12
1379048,2025-10-20 19:00:00+0000,apifootball,2025-10-16 14:46:38,West Ham,Brentford,west ham,brentford,10,-0.5,3.15,1.8
1390899,2025-10-20 19:00:00+0000,apifootball,2025-10-16 14:46:39,Alaves,Valencia,alaves,valencia,10,-0.5,3.2,1.63
1388379,2025-10-24 18:30:00+0000,apifootball,2025-10-16 14:46:40,Werder Bremen,Union Berlin,werder bremen,union berlin,4,-0.5,2.5,1.77
1379055,2025-10-24 19:00:00+0000,apifootball,2025-10-16 14:46:40,Leeds,West Ham,leeds,west ham,5,-0.5,2.87,1.72
1388371,2025-10-25 13:30:00+0000,apifootball,2025-10-16 14:47:27,FC Augsburg,RB Leipzig,augsburg,rb leipzig,4,-0.5,3.55,1.32
1388373,2025-10-25 13:30:00+0000,apifootball,2025-10-16 14:47:28,Borussia Mönchengladbach,Bayern München,borussia mönchengladbach,bayern münchen,3,-1.0,34.0,1.04
1388375,2025-10-25 13:30:00+0000,apifootball,2025-10-16 14:47:29,Eintracht Frankfurt,FC St. Pauli,eintracht frankfurt,st pauli,4,-0.5,2.2,2.15
1388376,2025-10-25 13:30:00+0000,apifootball,2025-10-16 14:47:30,Hamburger SV,VfL Wolfsburg,hamburger sv,vfl wolfsburg,4,-0.5,3.3,1.42
1388377,2025-10-25 13:30:00+0000,apifootball,2025-10-16 14:47:30,1899 Hoffenheim,1. FC Heidenheim,1899 hoffenheim,1 heidenheim,3,-0.5,2.25,2.1
1379053,2025-10-25 14:00:00+0000,apifootball,2025-10-16 14:47:31,Chelsea,Sunderland,chelsea,sunderland,4,-0.5,1.98,2.65
1379057,2025-10-25 14:00:00+0000,apifootball,2025-10-16 14:47:32,Newcastle,Fulham,newcastle,fulham,4,-0.5,2.2,2.25
1379056,2025-10-25 16:30:00+0000,apifootball,2025-10-16 14:47:56,Manchester United,Brighton,manchester united,brighton,4,-0.5,2.6,1.77
1388374,2025-10-25 16:30:00+0000,apifootball,2025-10-16 14:47:56,Borussia Dortmund,1.FC Köln,borussia dortmund,1 köln,4,-0.5,1.95,2.68
1379052,2025-10-25 19:00:00+0000,apifootball,2025-10-16 14:48:20,Brentford,Liverpool,brentford,liverpool,4,-0.5,5.25,1.18
1388372,2025-10-26 14:30:00+0000,apifootball,2025-10-16 14:50:30,Bayer Leverkusen,SC Freiburg,bayer leverkusen,freiburg,4,-0.5,1.62,2.3
