fixture_id,date,odds_source,fetched_at_utc,home,away,home_norm,away_norm,bookmaker_count,odds_h,odds_d,odds_a,src_book_h,src_book_d,src_book_a
1388369,2025-10-17 18:30:00+0000,apifootball,2025-10-16 00:46:53,Union Berlin,Borussia Mönchengladbach,union berlin,borussia mönchengladbach,3,2.25,3.5,3.2,888Sport,Betano,Betano
1390906,2025-10-17 19:00:00+0000,apifootball,2025-10-16 00:46:53,Oviedo,Espanyol,oviedo,espanyol,3,3.0,3.2,2.52,Unibet,Unibet,Betano
1379045,2025-10-18 11:30:00+0000,apifootball,2025-10-16 00:46:54,Nottingham Forest,Chelsea,nottingham forest,chelsea,3,3.75,3.75,1.96,Betano,Unibet,Unibet
1390907,2025-10-18 12:00:00+0000,apifootball,2025-10-16 00:46:55,Sevilla,Mallorca,sevilla,mallorca,3,1.88,3.45,4.6,Betano,Unibet,Unibet
1388363,2025-10-18 13:30:00+0000,apifootball,2025-10-16 00:46:55,1.FC Köln,FC Augsburg,1 köln,augsburg,3,2.0,3.95,3.65,888Sport,Unibet,Unibet
1388365,2025-10-18 13:30:00+0000,apifootball,2025-10-16 00:46:56,1. FC Heidenheim,Werder Bremen,1 heidenheim,werder bremen,3,2.9,3.65,2.38,Betano,Unibet,888Sport
1388366,2025-10-18 13:30:00+0000,apifootball,2025-10-16 00:46:57,FSV Mainz 05,Bayer Leverkusen,fsv mainz 05,bayer leverkusen,3,2.82,3.6,2.45,Betano,Unibet,Betano
1388367,2025-10-18 13:30:00+0000,apifootball,2025-10-16 00:46:57,RB Leipzig,Hamburger SV,rb leipzig,hamburger sv,3,1.44,5.1,6.2,Betano,Unibet,Betano
1388370,2025-10-18 13:30:00+0000,apifootball,2025-10-16 00:46:58,VfL Wolfsburg,VfB Stuttgart,vfl wolfsburg,vfb stuttgart,3,2.67,3.8,2.55,Betano,Unibet,Betano
1379039,2025-10-18 14:00:00+0000,apifootball,2025-10-16 00:46:58,Brighton,Newcastle,brighton,newcastle,3,2.62,3.55,2.75,Betano,Unibet,Unibet
1379040,2025-10-18 14:00:00+0000,apifootball,2025-10-16 00:46:59,Burnley,Leeds,burnley,leeds,3,3.25,3.3,2.32,Betano,Unibet,Betano
1379041,2025-10-18 14:00:00+0000,apifootball,2025-10-16 00:47:00,Crystal Palace,Bournemouth,crystal palace,bournemouth,3,2.27,3.35,3.45,Betano,Unibet,Unibet
