fixture_id,date,odds_source,fetched_at_utc,home,away,home_norm,away_norm,bookmaker_count,ah_line,ah_home,ah_away
1379045,2025-10-18 11:30:00+0000,apifootball,2025-10-17 21:41:19,Nottingham Forest,Chelsea,nottingham forest,chelsea,5,-0.5,3.8,1.31
1390907,2025-10-18 12:00:00+0000,apifootball,2025-10-17 21:41:19,Sevilla,Mallorca,sevilla,mallorca,5,-0.5,2.5,2.01
1388363,2025-10-18 13:30:00+0000,apifootball,2025-10-17 21:41:20,1.FC Köln,FC Augsburg,1 köln,augsburg,5,-0.5,2.51,2.16
1388365,2025-10-18 13:30:00+0000,apifootball,2025-10-17 21:41:21,1. FC Heidenheim,Werder Bremen,1 heidenheim,werder bremen,5,-0.5,3.44,1.83
1388366,2025-10-18 13:30:00+0000,apifootball,2025-10-17 21:41:21,FSV Mainz 05,Bayer Leverkusen,fsv mainz 05,bayer leverkusen,5,-0.5,3.55,1.91
1388367,2025-10-18 13:30:00+0000,apifootball,2025-10-17 21:41:22,RB Leipzig,Hamburger SV,rb leipzig,hamburger sv,5,-0.5,1.89,2.96
1388370,2025-10-18 13:30:00+0000,apifootball,2025-10-17 21:41:22,VfL Wolfsburg,VfB Stuttgart,vfl wolfsburg,vfb stuttgart,5,-0.5,3.18,1.67
1379039,2025-10-18 14:00:00+0000,apifootball,2025-10-17 21:41:23,Brighton,Newcastle,brighton,newcastle,5,-0.5,3.37,1.95
1379040,2025-10-18 14:00:00+0000,apifootball,2025-10-17 21:41:24,Burnley,Leeds,burnley,leeds,5,-0.5,4.09,1.34
1379041,2025-10-18 14:00:00+0000,apifootball,2025-10-17 21:41:24,Crystal Palace,Bournemouth,crystal palace,bournemouth,5,-0.5,2.79,1.73
1379044,2025-10-18 14:00:00+0000,apifootball,2025-10-17 21:41:25,Manchester City,Everton,manchester city,everton,5,-0.5,1.95,3.14
1379046,2025-10-18 14:00:00+0000,apifootball,2025-10-17 21:41:26,Sunderland,Wolves,sunderland,wolves,5,-0.5,3.17,2.24
1390901,2025-10-18 14:15:00+0000,apifootball,2025-10-17 21:41:26,Barcelona,Girona,barcelona,girona,5,-0.5,1.55,4.25
1379042,2025-10-18 16:30:00+0000,apifootball,2025-10-17 21:41:27,Fulham,Arsenal,fulham,arsenal,5,-0.5,6.25,1.12
1388362,2025-10-18 16:30:00+0000,apifootball,2025-10-17 21:41:28,Bayern München,Borussia Dortmund,bayern münchen,borussia dortmund,5,-0.5,1.72,3.41
1390908,2025-10-18 16:30:00+0000,apifootball,2025-10-17 21:41:28,Villarreal,Real Betis,villarreal,real betis,5,-0.5,2.52,2.0
1390900,2025-10-18 19:00:00+0000,apifootball,2025-10-17 21:41:29,Atletico Madrid,Osasuna,atletico madrid,osasuna,5,-0.5,1.94,3.32
1390903,2025-10-19 12:00:00+0000,apifootball,2025-10-17 21:41:30,Elche,Athletic Club,elche,athletic,5,-0.5,4.15,1.3
1379047,2025-10-19 13:00:00+0000,apifootball,2025-10-17 21:41:30,Tottenham,Aston Villa,tottenham,aston villa,5,-0.5,2.74,2.09
1388364,2025-10-19 13:30:00+0000,apifootball,2025-10-17 21:41:31,SC Freiburg,Eintracht Frankfurt,freiburg,eintracht frankfurt,5,-0.5,3.03,1.81
1390902,2025-10-19 14:15:00+0000,apifootball,2025-10-17 21:41:32,Celta Vigo,Real Sociedad,celta vigo,real sociedad,5,-0.5,2.91,2.02
1379043,2025-10-19 15:30:00+0000,apifootball,2025-10-17 21:41:32,Liverpool,Manchester United,liverpool,manchester united,5,-0.5,2.13,2.45
1388368,2025-10-19 15:30:00+0000,apifootball,2025-10-17 21:41:33,FC St. Pauli,1899 Hoffenheim,st pauli,1899 hoffenheim,5,-0.5,3.15,2.03
1390905,2025-10-19 16:30:00+0000,apifootball,2025-10-17 21:41:34,Levante,Rayo Vallecano,levante,rayo vallecano,5,-0.5,3.44,1.47
1390904,2025-10-19 19:00:00+0000,apifootball,2025-10-17 21:41:34,Getafe,Real Madrid,getafe,real madrid,5,-0.5,7.0,1.1
1379048,2025-10-20 19:00:00+0000,apifootball,2025-10-17 21:41:35,West Ham,Brentford,west ham,brentford,5,-0.5,3.06,1.82
1390899,2025-10-20 19:00:00+0000,apifootball,2025-10-17 21:41:35,Alaves,Valencia,alaves,valencia,5,-0.5,3.09,2.24
1388379,2025-10-24 18:30:00+0000,apifootball,2025-10-17 21:41:36,Werder Bremen,Union Berlin,werder bremen,union berlin,5,-0.5,2.6,1.84
1379055,2025-10-24 19:00:00+0000,apifootball,2025-10-17 21:41:37,Leeds,West Ham,leeds,west ham,5,-0.5,2.76,1.84
1390917,2025-10-24 19:00:00+0000,apifootball,2025-10-17 21:41:37,Real Sociedad,Sevilla,real sociedad,sevilla,5,-0.5,2.61,1.84
1390912,2025-10-25 12:00:00+0000,apifootball,2025-10-17 21:41:38,Girona,Oviedo,girona,oviedo,5,-0.5,2.5,1.97
1388371,2025-10-25 13:30:00+0000,apifootball,2025-10-17 21:41:39,FC Augsburg,RB Leipzig,augsburg,rb leipzig,5,-0.5,3.55,1.34
1388373,2025-10-25 13:30:00+0000,apifootball,2025-10-17 21:41:39,Borussia Mönchengladbach,Bayern München,borussia mönchengladbach,bayern münchen,5,-0.5,6.25,1.12
1388375,2025-10-25 13:30:00+0000,apifootball,2025-10-17 21:41:40,Eintracht Frankfurt,FC St. Pauli,eintracht frankfurt,st pauli,5,-0.5,2.27,2.08
1388376,2025-10-25 13:30:00+0000,apifootball,2025-10-17 21:41:41,Hamburger SV,VfL Wolfsburg,hamburger sv,vfl wolfsburg,5,-0.5,3.08,1.52
