fixture_id,date,odds_source,fetched_at_utc,home,away,home_norm,away_norm,bookmaker_count,ah_line,ah_home,ah_away
1388377,2025-10-25 13:30:00+0000,apifootball,2025-10-17 21:41:41,1899 Hoffenheim,1. FC Heidenheim,1899 hoffenheim,1 heidenheim,5,-0.5,2.08,2.38
1379053,2025-10-25 14:00:00+0000,apifootball,2025-10-17 21:41:42,Chelsea,Sunderland,chelsea,sunderland,5,-0.5,1.98,2.89
1379057,2025-10-25 14:00:00+0000,apifootball,2025-10-17 21:41:42,Newcastle,Fulham,newcastle,fulham,5,-0.5,2.15,2.33
1390911,2025-10-25 14:15:00+0000,apifootball,2025-10-17 21:41:43,Espanyol,Elche,espanyol,elche,5,-0.5,2.68,1.82
1379056,2025-10-25 16:30:00+0000,apifootball,2025-10-17 21:41:44,Manchester United,Brighton,manchester united,brighton,5,-0.5,2.59,1.86
1388374,2025-10-25 16:30:00+0000,apifootball,2025-10-17 21:41:44,Borussia Dortmund,1.FC Köln,borussia dortmund,1 köln,5,-0.5,2.06,2.5
1390909,2025-10-25 16:30:00+0000,apifootball,2025-10-17 21:41:45,Athletic Club,Getafe,athletic,getafe,5,-0.5,2.35,2.2
1379052,2025-10-25 19:00:00+0000,apifootball,2025-10-17 21:41:46,Brentford,Liverpool,brentford,liverpool,5,-0.5,4.4,1.23
1390918,2025-10-25 19:00:00+0000,apifootball,2025-10-17 21:41:46,Valencia,Villarreal,valencia,villarreal,5,-0.5,3.61,1.4
1390913,2025-10-26 13:00:00+0000,apifootball,2025-10-17 21:41:47,Mallorca,Levante,mallorca,levante,5,-0.5,2.84,1.74
1379049,2025-10-26 14:00:00+0000,apifootball,2025-10-17 21:41:48,Arsenal,Crystal Palace,arsenal,crystal palace,5,-0.5,2.06,2.81
1379050,2025-10-26 14:00:00+0000,apifootball,2025-10-17 21:41:48,Aston Villa,Manchester City,aston villa,manchester city,5,-0.5,3.9,1.28
1379051,2025-10-26 14:00:00+0000,apifootball,2025-10-17 21:41:49,Bournemouth,Nottingham Forest,bournemouth,nottingham forest,5,-0.5,2.39,2.11
1379058,2025-10-26 14:00:00+0000,apifootball,2025-10-17 21:41:49,Wolves,Burnley,wolves,burnley,5,-0.5,2.63,1.97
1388372,2025-10-26 14:30:00+0000,apifootball,2025-10-17 21:41:50,Bayer Leverkusen,SC Freiburg,bayer leverkusen,freiburg,5,-0.5,2.25,2.24
1390916,2025-10-26 15:15:00+0000,apifootball,2025-10-17 21:41:51,Real Madrid,Barcelona,real madrid,barcelona,5,-0.5,2.61,1.81
1379054,2025-10-26 16:30:00+0000,apifootball,2025-10-17 21:41:51,Everton,Tottenham,everton,tottenham,5,-0.5,3.07,1.58
1388378,2025-10-26 16:30:00+0000,apifootball,2025-10-17 21:41:52,VfB Stuttgart,FSV Mainz 05,vfb stuttgart,fsv mainz 05,5,-0.5,2.3,2.07
1390914,2025-10-26 17:30:00+0000,apifootball,2025-10-17 21:41:53,Osasuna,Celta Vigo,osasuna,celta vigo,5,-0.5,3.1,1.58
1390915,2025-10-26 20:00:00+0000,apifootball,2025-10-17 21:41:53,Rayo Vallecano,Alaves,rayo vallecano,alaves,5,-0.5,2.81,1.91
1390910,2025-10-27 20:00:00+0000,apifootball,2025-10-17 21:41:54,Real Betis,Atletico Madrid,real betis,atletico madrid,5,-0.5,3.6,1.38
