team_id,played_total,wins_total,draws_total,losses_total,goals_for_avg,goals_against_avg,clean_sheet,failed_to_score,shots_for,shots_on_for,shots_against,shots_on_against,corners_for,corners_against,yc_total,rc_total,possession_avg,shots_for_pg,shots_on_for_pg,shots_against_pg,shots_on_against_pg,corners_for_pg,corners_against_pg,yc_pg,rc_pg
48,7,1,1,,0.9,2.3,1,3,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 1, 'percentage': '10.00%'}, '46-60': {'total': 3, 'percentage': '30.00%'}, '61-75': {'total': 4, 'percentage': '40.00%'}, '76-90': {'total': 2, 'percentage': '20.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 1, 'percentage': '100.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
50,7,4,1,,2.1,0.9,3,1,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 1, 'percentage': '10.00%'}, '46-60': {'total': 1, 'percentage': '10.00%'}, '61-75': {'total': 3, 'percentage': '30.00%'}, '76-90': {'total': 5, 'percentage': '50.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
35,7,4,2,,1.6,1.1,3,1,,,,,,,"{'0-15': {'total': 3, 'percentage': '18.75%'}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 2, 'percentage': '12.50%'}, '46-60': {'total': 3, 'percentage': '18.75%'}, '61-75': {'total': 3, 'percentage': '18.75%'}, '76-90': {'total': 2, 'percentage': '12.50%'}, '91-105': {'total': 3, 'percentage': '18.75%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
44,7,1,1,,1.0,2.1,1,2,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 5, 'percentage': '41.67%'}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': 1, 'percentage': '8.33%'}, '76-90': {'total': 2, 'percentage': '16.67%'}, '91-105': {'total': 4, 'percentage': '33.33%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 1, 'percentage': '100.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
55,7,2,1,,1.3,1.7,1,1,,,,,,,"{'0-15': {'total': 1, 'percentage': '7.14%'}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 3, 'percentage': '21.43%'}, '61-75': {'total': 5, 'percentage': '35.71%'}, '76-90': {'total': 5, 'percentage': '35.71%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
42,7,5,1,,2.0,0.4,4,1,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 1, 'percentage': '11.11%'}, '46-60': {'total': 2, 'percentage': '22.22%'}, '61-75': {'total': 2, 'percentage': '22.22%'}, '76-90': {'total': 2, 'percentage': '22.22%'}, '91-105': {'total': 2, 'percentage': '22.22%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
45,7,3,2,,1.3,1.0,2,2,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 3, 'percentage': '16.67%'}, '31-45': {'total': 1, 'percentage': '5.56%'}, '46-60': {'total': 2, 'percentage': '11.11%'}, '61-75': {'total': 5, 'percentage': '27.78%'}, '76-90': {'total': 4, 'percentage': '22.22%'}, '91-105': {'total': 3, 'percentage': '16.67%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
52,7,3,3,,1.3,0.7,3,2,,,,,,,"{'0-15': {'total': 2, 'percentage': '11.76%'}, '16-30': {'total': 2, 'percentage': '11.76%'}, '31-45': {'total': 2, 'percentage': '11.76%'}, '46-60': {'total': 3, 'percentage': '17.65%'}, '61-75': {'total': 1, 'percentage': '5.88%'}, '76-90': {'total': 5, 'percentage': '29.41%'}, '91-105': {'total': 2, 'percentage': '11.76%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
36,7,2,2,,1.1,1.6,1,1,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '6.25%'}, '31-45': {'total': 3, 'percentage': '18.75%'}, '46-60': {'total': 3, 'percentage': '18.75%'}, '61-75': {'total': 1, 'percentage': '6.25%'}, '76-90': {'total': 4, 'percentage': '25.00%'}, '91-105': {'total': 4, 'percentage': '25.00%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
34,7,2,3,,0.9,0.7,5,3,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 3, 'percentage': '37.50%'}, '46-60': {'total': 1, 'percentage': '12.50%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 4, 'percentage': '50.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 1, 'percentage': '100.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
