fixture_id,league_id,league_name,season,date,status_short,status_long,home_id,home,away_id,away,goals_home,goals_away,result,sport_key,home_norm,away_norm
1388446,78,Bundesliga,2025,2026-01-10 14:30:00+00:00,NS,Not Started,169,Eintracht Frankfurt,165,Borussia Dortmund,,,,soccer_germany_bundesliga,eintracht frankfurt,borussia dortmund
1388448,78,Bundesliga,2025,2026-01-10 14:30:00+00:00,NS,Not Started,180,1. FC Heidenheim,192,1.FC Köln,,,,soccer_germany_bundesliga,1 heidenheim,1 köln
1388450,78,Bundesliga,2025,2026-01-10 14:30:00+00:00,NS,Not Started,182,Union Berlin,164,FSV Mainz 05,,,,soccer_germany_bundesliga,union berlin,fsv mainz 05
1388449,78,Bundesliga,2025,2026-01-10 14:30:00+00:00,NS,Not Started,186,FC St. Pauli,173,RB Leipzig,,,,soccer_germany_bundesliga,st pauli,rb leipzig
1388460,78,Bundesliga,2025,2026-01-13 19:30:00+00:00,NS,Not Started,161,VfL Wolfsburg,186,FC St. Pauli,,,,soccer_germany_bundesliga,vfl wolfsburg,st pauli
1388457,78,Bundesliga,2025,2026-01-13 19:30:00+00:00,NS,Not Started,164,FSV Mainz 05,180,1. FC Heidenheim,,,,soccer_germany_bundesliga,fsv mainz 05,1 heidenheim
1388453,78,Bundesliga,2025,2026-01-13 19:30:00+00:00,NS,Not Started,165,Borussia Dortmund,162,Werder Bremen,,,,soccer_germany_bundesliga,borussia dortmund,werder bremen
1388456,78,Bundesliga,2025,2026-01-13 19:30:00+00:00,NS,Not Started,167,1899 Hoffenheim,163,Borussia Mönchengladbach,,,,soccer_germany_bundesliga,1899 hoffenheim,borussia mönchengladbach
1388452,78,Bundesliga,2025,2026-01-13 19:30:00+00:00,NS,Not Started,170,FC Augsburg,182,Union Berlin,,,,soccer_germany_bundesliga,augsburg,union berlin
1388459,78,Bundesliga,2025,2026-01-13 19:30:00+00:00,NS,Not Started,172,VfB Stuttgart,169,Eintracht Frankfurt,,,,soccer_germany_bundesliga,vfb stuttgart,eintracht frankfurt
1388458,78,Bundesliga,2025,2026-01-13 19:30:00+00:00,NS,Not Started,173,RB Leipzig,160,SC Freiburg,,,,soccer_germany_bundesliga,rb leipzig,freiburg
1388455,78,Bundesliga,2025,2026-01-13 19:30:00+00:00,NS,Not Started,175,Hamburger SV,168,Bayer Leverkusen,,,,soccer_germany_bundesliga,hamburger sv,bayer leverkusen
1388454,78,Bundesliga,2025,2026-01-13 19:30:00+00:00,NS,Not Started,192,1.FC Köln,157,Bayern München,,,,soccer_germany_bundesliga,1 köln,bayern münchen
1388469,78,Bundesliga,2025,2026-01-17 14:30:00+00:00,NS,Not Started,161,VfL Wolfsburg,180,1. FC Heidenheim,,,,soccer_germany_bundesliga,vfl wolfsburg,1 heidenheim
1388468,78,Bundesliga,2025,2026-01-17 14:30:00+00:00,NS,Not Started,162,Werder Bremen,169,Eintracht Frankfurt,,,,soccer_germany_bundesliga,werder bremen,eintracht frankfurt
1388462,78,Bundesliga,2025,2026-01-17 14:30:00+00:00,NS,Not Started,165,Borussia Dortmund,186,FC St. Pauli,,,,soccer_germany_bundesliga,borussia dortmund,st pauli
1388465,78,Bundesliga,2025,2026-01-17 14:30:00+00:00,NS,Not Started,167,1899 Hoffenheim,168,Bayer Leverkusen,,,,soccer_germany_bundesliga,1899 hoffenheim,bayer leverkusen
1388461,78,Bundesliga,2025,2026-01-17 14:30:00+00:00,NS,Not Started,170,FC Augsburg,160,SC Freiburg,,,,soccer_germany_bundesliga,augsburg,freiburg
1388467,78,Bundesliga,2025,2026-01-17 14:30:00+00:00,NS,Not Started,172,VfB Stuttgart,182,Union Berlin,,,,soccer_germany_bundesliga,vfb stuttgart,union berlin
1388466,78,Bundesliga,2025,2026-01-17 14:30:00+00:00,NS,Not Started,173,RB Leipzig,157,Bayern München,,,,soccer_germany_bundesliga,rb leipzig,bayern münchen
1388464,78,Bundesliga,2025,2026-01-17 14:30:00+00:00,NS,Not Started,175,Hamburger SV,163,Borussia Mönchengladbach,,,,soccer_germany_bundesliga,hamburger sv,borussia mönchengladbach
1388463,78,Bundesliga,2025,2026-01-17 14:30:00+00:00,NS,Not Started,192,1.FC Köln,164,FSV Mainz 05,,,,soccer_germany_bundesliga,1 köln,fsv mainz 05
1388471,78,Bundesliga,2025,2026-01-24 14:30:00+00:00,NS,Not Started,157,Bayern München,170,FC Augsburg,,,,soccer_germany_bundesliga,bayern münchen,augsburg
1388474,78,Bundesliga,2025,2026-01-24 14:30:00+00:00,NS,Not Started,160,SC Freiburg,192,1.FC Köln,,,,soccer_germany_bundesliga,freiburg,1 köln
