team_id,team_name,rank,points,goalsDiff
42,Arsenal,1,16,11
40,Liverpool,2,15,4
47,Tottenham,3,14,8
35,Bournemouth,4,14,3
50,Manchester City,5,13,9
52,Crystal Palace,6,12,4
49,Chelsea,7,11,4
45,Everton,8,11,2
746,Sunderland,9,11,1
33,Manchester United,10,10,-2
34,Newcastle,11,9,1
51,Brighton,12,9,0
66,Aston Villa,13,9,-1
36,Fulham,14,8,-3
63,Leeds,15,8,-4
55,Brentford,16,7,-3
65,Nottingham Forest,17,5,-7
44,Burnley,18,4,-8
48,West Ham,19,4,-10
39,Wolves,20,2,-9
