sport_key,league_name,season,fixture_id,date,home,away,home_id,away_id,status,goals_home,goals_away,result
soccer_germany_bundesliga,Bundesliga,2024,1224094,2024-12-15 14:30:00+00:00,1. FC Heidenheim,VfB Stuttgart,180,172,FT,1,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224093,2024-12-15 16:30:00+00:00,Borussia Dortmund,1899 Hoffenheim,165,167,FT,1,1,D
soccer_germany_bundesliga,Bundesliga,2024,1224092,2024-12-15 18:30:00+00:00,RB Leipzig,Eintracht Frankfurt,173,169,FT,2,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224103,2024-12-20 19:30:00+00:00,Bayern München,RB Leipzig,157,173,FT,5,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224106,2024-12-21 14:30:00+00:00,Werder Bremen,Union Berlin,162,182,FT,4,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224105,2024-12-21 14:30:00+00:00,1899 Hoffenheim,Borussia Mönchengladbach,167,163,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224104,2024-12-21 14:30:00+00:00,Eintracht Frankfurt,FSV Mainz 05,169,164,FT,1,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224102,2024-12-21 14:30:00+00:00,VfB Stuttgart,FC St. Pauli,172,186,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224109,2024-12-21 14:30:00+00:00,Holstein Kiel,FC Augsburg,191,170,FT,5,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224101,2024-12-21 17:30:00+00:00,Bayer Leverkusen,SC Freiburg,168,160,FT,5,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224108,2024-12-22 14:30:00+00:00,VfL Bochum,1. FC Heidenheim,176,180,FT,2,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224107,2024-12-22 16:30:00+00:00,VfL Wolfsburg,Borussia Dortmund,161,165,FT,1,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224111,2025-01-10 19:45:00+00:00,Borussia Dortmund,Bayer Leverkusen,165,168,FT,2,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224114,2025-01-11 14:30:00+00:00,SC Freiburg,Holstein Kiel,160,191,FT,3,2,H
soccer_germany_bundesliga,Bundesliga,2024,1224116,2025-01-11 14:30:00+00:00,FSV Mainz 05,VfL Bochum,164,176,FT,2,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224112,2025-01-11 14:30:00+00:00,1899 Hoffenheim,VfL Wolfsburg,167,161,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224113,2025-01-11 14:30:00+00:00,1. FC Heidenheim,Union Berlin,180,182,FT,2,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224118,2025-01-11 14:30:00+00:00,FC St. Pauli,Eintracht Frankfurt,186,169,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224117,2025-01-11 17:30:00+00:00,Borussia Mönchengladbach,Bayern München,163,157,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224110,2025-01-12 14:30:00+00:00,RB Leipzig,Werder Bremen,173,162,FT,4,2,H
soccer_germany_bundesliga,Bundesliga,2024,1224115,2025-01-12 16:30:00+00:00,FC Augsburg,VfB Stuttgart,170,172,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224127,2025-01-14 17:30:00+00:00,Holstein Kiel,Borussia Dortmund,191,165,FT,4,2,H
soccer_germany_bundesliga,Bundesliga,2024,1224124,2025-01-14 19:30:00+00:00,VfL Wolfsburg,Borussia Mönchengladbach,161,163,FT,5,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224119,2025-01-14 19:30:00+00:00,Bayer Leverkusen,FSV Mainz 05,168,164,FT,1,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224122,2025-01-14 19:30:00+00:00,Eintracht Frankfurt,SC Freiburg,169,160,FT,4,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224126,2025-01-15 17:30:00+00:00,VfL Bochum,FC St. Pauli,176,186,FT,1,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224121,2025-01-15 19:30:00+00:00,Bayern München,1899 Hoffenheim,157,167,FT,5,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224123,2025-01-15 19:30:00+00:00,Werder Bremen,1. FC Heidenheim,162,180,FT,3,3,D
soccer_germany_bundesliga,Bundesliga,2024,1224120,2025-01-15 19:30:00+00:00,VfB Stuttgart,RB Leipzig,172,173,FT,2,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224125,2025-01-15 19:30:00+00:00,Union Berlin,FC Augsburg,182,170,FT,0,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224131,2025-01-17 19:30:00+00:00,Eintracht Frankfurt,Borussia Dortmund,169,165,FT,2,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224130,2025-01-18 14:30:00+00:00,Bayern München,VfL Wolfsburg,157,161,FT,3,2,H
soccer_germany_bundesliga,Bundesliga,2024,1224129,2025-01-18 14:30:00+00:00,VfB Stuttgart,SC Freiburg,172,160,FT,4,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224135,2025-01-18 14:30:00+00:00,VfL Bochum,RB Leipzig,176,173,FT,3,3,D
soccer_germany_bundesliga,Bundesliga,2024,1224132,2025-01-18 14:30:00+00:00,1. FC Heidenheim,FC St. Pauli,180,186,FT,0,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224136,2025-01-18 14:30:00+00:00,Holstein Kiel,1899 Hoffenheim,191,167,FT,1,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224128,2025-01-18 17:30:00+00:00,Bayer Leverkusen,Borussia Mönchengladbach,168,163,FT,3,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224134,2025-01-19 14:30:00+00:00,Union Berlin,FSV Mainz 05,182,164,FT,2,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224133,2025-01-19 16:30:00+00:00,Werder Bremen,FC Augsburg,162,170,FT,0,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224142,2025-01-24 19:30:00+00:00,VfL Wolfsburg,Holstein Kiel,161,191,FT,2,2,D
soccer_germany_bundesliga,Bundesliga,2024,1224140,2025-01-25 14:30:00+00:00,SC Freiburg,Bayern München,160,157,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224143,2025-01-25 14:30:00+00:00,FSV Mainz 05,VfB Stuttgart,164,172,FT,2,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224138,2025-01-25 14:30:00+00:00,Borussia Dortmund,Werder Bremen,165,162,FT,2,2,D
soccer_germany_bundesliga,Bundesliga,2024,1224141,2025-01-25 14:30:00+00:00,FC Augsburg,1. FC Heidenheim,170,180,FT,2,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224137,2025-01-25 14:30:00+00:00,RB Leipzig,Bayer Leverkusen,173,168,FT,2,2,D
soccer_germany_bundesliga,Bundesliga,2024,1224144,2025-01-25 17:30:00+00:00,Borussia Mönchengladbach,VfL Bochum,163,176,FT,3,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224139,2025-01-26 14:30:00+00:00,1899 Hoffenheim,Eintracht Frankfurt,167,169,FT,2,2,D
soccer_germany_bundesliga,Bundesliga,2024,1224145,2025-01-26 16:30:00+00:00,FC St. Pauli,Union Berlin,186,182,FT,3,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224151,2025-01-31 19:30:00+00:00,Werder Bremen,FSV Mainz 05,162,164,FT,1,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224148,2025-02-01 14:30:00+00:00,Bayern München,Holstein Kiel,157,191,FT,4,3,H
soccer_germany_bundesliga,Bundesliga,2024,1224147,2025-02-01 14:30:00+00:00,VfB Stuttgart,Borussia Mönchengladbach,172,163,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224153,2025-02-01 14:30:00+00:00,VfL Bochum,SC Freiburg,176,160,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224150,2025-02-01 14:30:00+00:00,1. FC Heidenheim,Borussia Dortmund,180,165,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224154,2025-02-01 14:30:00+00:00,FC St. Pauli,FC Augsburg,186,170,FT,1,1,D
soccer_germany_bundesliga,Bundesliga,2024,1224152,2025-02-01 17:30:00+00:00,Union Berlin,RB Leipzig,182,173,FT,0,0,D
soccer_germany_bundesliga,Bundesliga,2024,1224149,2025-02-02 14:30:00+00:00,Eintracht Frankfurt,VfL Wolfsburg,169,161,FT,1,1,D
soccer_germany_bundesliga,Bundesliga,2024,1224146,2025-02-02 16:30:00+00:00,Bayer Leverkusen,1899 Hoffenheim,168,167,FT,3,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224155,2025-02-07 19:30:00+00:00,Bayern München,Werder Bremen,157,162,FT,3,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224159,2025-02-08 14:30:00+00:00,SC Freiburg,1. FC Heidenheim,160,180,FT,1,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224160,2025-02-08 14:30:00+00:00,VfL Wolfsburg,Bayer Leverkusen,161,168,FT,0,0,D
