team_id,played_total,wins_total,draws_total,losses_total,goals_for_avg,goals_against_avg,clean_sheet,failed_to_score,shots_for,shots_on_for,shots_against,shots_on_against,corners_for,corners_against,yc_total,rc_total,possession_avg,shots_for_pg,shots_on_for_pg,shots_against_pg,shots_on_against_pg,corners_for_pg,corners_against_pg,yc_pg,rc_pg
543,8,4,3,,1.6,1.0,2,"{'home': 0, 'away': 0, 'total': 0}",,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 5, 'percentage': '29.41%'}, '46-60': {'total': 2, 'percentage': '11.76%'}, '61-75': {'total': 1, 'percentage': '5.88%'}, '76-90': {'total': 2, 'percentage': '11.76%'}, '91-105': {'total': 5, 'percentage': '29.41%'}, '106-120': {'total': None, 'percentage': None}, '': {'total': 2, 'percentage': '11.76%'}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
530,8,3,4,,1.9,1.3,1,"{'home': 0, 'away': 0, 'total': 0}",,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 3, 'percentage': '15.79%'}, '31-45': {'total': 5, 'percentage': '26.32%'}, '46-60': {'total': 2, 'percentage': '10.53%'}, '61-75': {'total': 3, 'percentage': '15.79%'}, '76-90': {'total': 3, 'percentage': '15.79%'}, '91-105': {'total': 3, 'percentage': '15.79%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 1, 'percentage': '50.00%'}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': 1, 'percentage': '50.00%'}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
539,8,2,2,,1.6,1.8,2,1,,,,,,,"{'0-15': {'total': 2, 'percentage': '10.53%'}, '16-30': {'total': 1, 'percentage': '5.26%'}, '31-45': {'total': 2, 'percentage': '10.53%'}, '46-60': {'total': 5, 'percentage': '26.32%'}, '61-75': {'total': 2, 'percentage': '10.53%'}, '76-90': {'total': 4, 'percentage': '21.05%'}, '91-105': {'total': 3, 'percentage': '15.79%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
727,8,3,1,,0.9,1.0,2,3,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 2, 'percentage': '13.33%'}, '31-45': {'total': 6, 'percentage': '40.00%'}, '46-60': {'total': 1, 'percentage': '6.67%'}, '61-75': {'total': 2, 'percentage': '13.33%'}, '76-90': {'total': 2, 'percentage': '13.33%'}, '91-105': {'total': 2, 'percentage': '13.33%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 1, 'percentage': '50.00%'}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': 1, 'percentage': '50.00%'}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
548,8,1,2,,0.9,1.5,1,2,,,,,,,"{'0-15': {'total': 2, 'percentage': '10.53%'}, '16-30': {'total': 3, 'percentage': '15.79%'}, '31-45': {'total': 2, 'percentage': '10.53%'}, '46-60': {'total': 5, 'percentage': '26.32%'}, '61-75': {'total': 3, 'percentage': '15.79%'}, '76-90': {'total': 3, 'percentage': '15.79%'}, '91-105': {'total': 1, 'percentage': '5.26%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
718,8,2,0,,0.5,1.8,1,5,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 2, 'percentage': '10.00%'}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 4, 'percentage': '20.00%'}, '61-75': {'total': 7, 'percentage': '35.00%'}, '76-90': {'total': 3, 'percentage': '15.00%'}, '91-105': {'total': 4, 'percentage': '20.00%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '33.33%'}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 1, 'percentage': '33.33%'}, '91-105': {'total': 1, 'percentage': '33.33%'}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
536,8,4,1,,1.9,1.4,2,"{'home': 0, 'away': 0, 'total': 0}",,,,,,,"{'0-15': {'total': 2, 'percentage': '7.41%'}, '16-30': {'total': 1, 'percentage': '3.70%'}, '31-45': {'total': 4, 'percentage': '14.81%'}, '46-60': {'total': 4, 'percentage': '14.81%'}, '61-75': {'total': 3, 'percentage': '11.11%'}, '76-90': {'total': 4, 'percentage': '14.81%'}, '91-105': {'total': 8, 'percentage': '29.63%'}, '106-120': {'total': None, 'percentage': None}, '': {'total': 1, 'percentage': '3.70%'}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
728,8,2,2,,1.0,1.3,1,3,,,,,,,"{'0-15': {'total': 1, 'percentage': '4.55%'}, '16-30': {'total': 2, 'percentage': '9.09%'}, '31-45': {'total': 5, 'percentage': '22.73%'}, '46-60': {'total': 2, 'percentage': '9.09%'}, '61-75': {'total': 2, 'percentage': '9.09%'}, '76-90': {'total': 3, 'percentage': '13.64%'}, '91-105': {'total': 5, 'percentage': '22.73%'}, '106-120': {'total': None, 'percentage': None}, '': {'total': 2, 'percentage': '9.09%'}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': 1, 'percentage': '100.00%'}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
546,8,3,2,,1.1,1.4,2,2,,,,,,,"{'0-15': {'total': 2, 'percentage': '10.00%'}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 7, 'percentage': '35.00%'}, '46-60': {'total': 1, 'percentage': '5.00%'}, '61-75': {'total': 4, 'percentage': '20.00%'}, '76-90': {'total': 5, 'percentage': '25.00%'}, '91-105': {'total': 1, 'percentage': '5.00%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
529,8,6,1,,2.8,1.1,3,"{'home': 0, 'away': 0, 'total': 0}",,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 2, 'percentage': '18.18%'}, '31-45': {'total': 3, 'percentage': '27.27%'}, '46-60': {'total': 3, 'percentage': '27.27%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 2, 'percentage': '18.18%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}, '': {'total': 1, 'percentage': '9.09%'}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
