fixture_id,league_id,league_name,season,date,sport_key,home,away,home_norm,away_norm,status_short,status_long,odds_h,odds_d,odds_a,odds_source,p_hat_h,p_hat_d,p_hat_a,EV_H,kelly_H,EV_D,kelly_D,EV_A,kelly_A,kelly_best,best_side,best_EV
1379039,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Brighton,Newcastle,brighton,newcastle,NS,Not Started,4.1,8.0,4.25,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8546578027110028,0.0,0.32735850855774884,0.011691375305633887,2.394181197577906,0.1841677844290697,0.1841677844290697,A,2.394181197577906
1379040,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Burnley,Leeds,burnley,leeds,NS,Not Started,4.9,8.0,3.85,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8262983495814422,0.0,0.32735850855774884,0.011691375305633887,2.074728849570574,0.18199375873426085,0.18199375873426085,A,2.074728849570574
1379041,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Crystal Palace,Bournemouth,crystal palace,bournemouth,NS,Not Started,3.65,8.05,4.9,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8706099950963805,0.0,0.3356544992362349,0.011902641816887763,2.9132912630898216,0.18674943994165522,0.18674943994165522,A,2.9132912630898216
1379042,39,Premier League,2025,2025-10-18 16:30:00+00:00,soccer_epl,Fulham,Arsenal,fulham,arsenal,NS,Not Started,6.9,9.0,3.6,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.7553997167575411,0.0,0.4932783221274675,0.015414947566483359,1.8750711320659912,0.18029530116019146,0.18029530116019146,A,1.8750711320659912
1379043,39,Premier League,2025,2025-10-19 15:30:00+00:00,soccer_epl,Liverpool,Manchester United,liverpool,manchester united,NS,Not Started,2.7,9.0,5.6,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.9042868456877335,0.0,0.4932783221274675,0.015414947566483359,3.472332872102653,0.18871374304905722,0.18871374304905722,A,3.472332872102653
1379044,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Manchester City,Everton,manchester city,everton,NS,Not Started,5.2,13.0,10.0,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8156635546578571,0.0,1.156957576406342,0.024103282841798787,6.986308700183309,0.19406413056064745,0.19406413056064745,A,6.986308700183309
1379045,39,Premier League,2025,2025-10-18 11:30:00+00:00,soccer_epl,Nottingham Forest,Chelsea,nottingham forest,chelsea,NS,Not Started,5.0,8.5,3.25,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8227534179402471,0.0,0.41031841534260804,0.013677280511420276,1.5955503275595753,0.1772833697288417,0.1772833697288417,A,1.5955503275595753
1379046,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Sunderland,Wolves,sunderland,wolves,NS,Not Started,3.95,9.0,4.85,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8599752001727953,0.0,0.4932783221274675,0.015414947566483359,2.8733597195889047,0.1865817999733055,0.1865817999733055,A,2.8733597195889047
1379047,39,Premier League,2025,2025-10-19 13:00:00+00:00,soccer_epl,Tottenham,Aston Villa,tottenham,aston villa,NS,Not Started,3.5,8.0,4.7,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8759273925581731,0.0,0.32735850855774884,0.011691375305633887,2.7535650890861554,0.186051695208524,0.186051695208524,A,2.7535650890861554
1379048,39,Premier League,2025,2025-10-20 19:00:00+00:00,soccer_epl,West Ham,Brentford,west ham,brentford,NS,Not Started,3.8,8.0,4.25,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8652925976345879,0.0,0.32735850855774884,0.011691375305633887,2.394181197577906,0.1841677844290697,0.1841677844290697,A,2.394181197577906
1379052,39,Premier League,2025,2025-10-25 19:00:00+00:00,soccer_epl,Brentford,Liverpool,brentford,liverpool,NS,Not Started,5.16,4.96,1.61,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8170815273143351,0.0,-0.17703772469419576,0.0,0.2857957007295129,0.11712938554488228,0.11712938554488228,A,0.2857957007295129
1379053,39,Premier League,2025,2025-10-25 14:00:00+00:00,soccer_epl,Chelsea,Sunderland,chelsea,sunderland,NS,Not Started,1.58,4.75,5.9,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.9439900800691181,0.0,-0.21188088554383666,0.0,3.7119221331081524,0.18938378230143635,0.18938378230143635,A,3.7119221331081524
1379055,39,Premier League,2025,2025-10-24 19:00:00+00:00,soccer_epl,Leeds,West Ham,leeds,west ham,NS,Not Started,3.75,3.78,4.75,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8670650634551854,0.0,-0.37282310470646374,0.0,2.793496632587072,0.18623310883913813,0.18623310883913813,A,2.793496632587072
1379056,39,Premier League,2025,2025-10-25 16:30:00+00:00,soccer_epl,Manchester United,Brighton,manchester united,brighton,NS,Not Started,2.16,3.68,3.58,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.9234294765501868,0.0,-0.38941508606343556,0.0,1.8590985146656247,0.18014520490945976,0.18014520490945976,A,1.8590985146656247
