date,sport_key,league_id,season,fixture_id,home,away,odds_source,recommended_market,recommended_side,recommended_book,recommended_price,model_prob,implied_prob,fair_odds,edge_pp,edge_pct,best_EV,kelly_best,odds_h,odds_d,odds_a,p_hat_h,p_hat_d,p_hat_a,league_name,days_to_match,home_norm,away_norm,status_short,status_long,home_id,away_id,home_rank,away_rank,rank_diff,home_points,away_points,points_diff,home_goalsDiff,away_goalsDiff,goalsdiff_diff,home_form5_pts,home_form5_gd,away_form5_pts,away_form5_gd,home_wins5,home_draws5,home_losses5,home_rest_days,away_wins5,away_draws5,away_losses5,away_rest_days,p_entry_h,p_entry_d,p_entry_a,overround,home_goals_for_avg,home_goals_against_avg,home_win_rate,home_draw_rate,home_loss_rate,home_cs_rate,home_fts_rate,away_goals_for_avg,away_goals_against_avg,away_win_rate,away_draw_rate,away_loss_rate,away_cs_rate,away_fts_rate,home_shots_for_pg,home_shots_on_for_pg,home_shots_against_pg,home_shots_on_against_pg,away_shots_for_pg,away_shots_on_for_pg,away_shots_against_pg,away_shots_on_against_pg,home_corners_for_pg,home_corners_against_pg,away_corners_for_pg,away_corners_against_pg,home_yc_pg,home_rc_pg,away_yc_pg,away_rc_pg,home_possession_avg,away_possession_avg,home_injuries_30d,away_injuries_30d,league_home_win_rate,h2h_games,h2h_pts_home,h2h_gd_home,h2h_win_rate_home,home_expected_goals,away_expected_goals,home_ball_possession,away_ball_possession,home_shots_on_goal,away_shots_on_goal,home_total_shots,away_total_shots,home_shots_off_goal,away_shots_off_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes_pct,away_passes_pct,home_passes_accurate,away_passes_accurate,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls,away_fouls,home_offsides,away_offsides,home_xg,away_xg,src_book_h,src_book_d,src_book_a,bookmaker_count,EV_H,kelly_H,EV_D,kelly_D,EV_A,kelly_A,best_side,imp_h,imp_d,imp_a,fair_h,fair_d,fair_a,edge_pp_h,edge_pp_d,edge_pp_a,edge_price_h,edge_price_d,edge_price_a,ou25_over_odds,ou25_under_odds,ah_home_m0_5_odds,ah_away_p0_5_odds,ah_home_line,ah_away_line,stake,why
2025-10-18 16:30:00+00:00,soccer_germany_bundesliga,78,2025,1388362,Bayern München,Borussia Dortmund,apifootball,1X2,Away,Unibet,7.5,0.8850463622652744,0.13333333333333333,1.1298843118687047,75.17130289319411,5.637847716989558,5.637847716989558,0.2168402968072907,1.38,6.0,7.5,0.08908041407011008,0.02587322366461548,0.8850463622652744,Bundesliga,0.7970697679513888,bayern münchen,borussia dortmund,NS,Not Started,157,165,1,2,-1,18,14,4,22,8,14,15.0,16.0,13.0,8.0,5.0,0.0,0.0,7.916666666666667,4.0,1.0,0.0,7.0,0.7072135785007072,0.1626591230551626,0.1301272984441301,0.024637681159420444,4.2,0.5,1.0,0.0,,0.6666666666666666,,2.0,0.7,0.6666666666666666,0.3333333333333333,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,14.0,13.0,0.41818181818181815,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Unibet,3.0,-0.8770690285832481,0.0,-0.844760658012307,0.0,5.637847716989558,0.2168402968072907,A,0.7246376811594204,0.16666666666666666,0.13333333333333333,11.225812210672453,38.64999634226528,1.1298843118687047,-63.55572670893104,-14.079344300205118,75.17130289319411,-0.8770690285832481,-0.844760658012307,5.637847716989558,1.34,3.55,1.76,3.44,-0.5,-0.5,21.68,form5_pts(H-A): +2.00 | rank_diff(H-A): -1.00 | injuries30d(A-H): -1.00 | overround: -0.02 | EV: +563.8% | Kelly: 21.7%
2025-10-18 13:30:00+00:00,soccer_germany_bundesliga,78,2025,1388367,RB Leipzig,Hamburger SV,apifootball,1X2,Draw,Unibet,5.6,0.8560442052731513,0.17857142857142858,1.1681639731220592,67.74727767017227,3.793847549529647,3.793847549529647,0.2061873668222634,1.44,5.6,7.0,0.08665946495852697,0.8560442052731513,0.057296329768321684,Bundesliga,0.6720697679513888,rb leipzig,hamburger sv,NS,Not Started,173,175,3,10,-7,13,8,5,0,-2,2,13.0,6.0,5.0,-6.0,4.0,0.0,1.0,7.0,1.0,2.0,2.0,6.916666666666667,0.68359375,0.17578125,0.140625,0.015873015873015817,1.3,1.3,0.6666666666666666,0.16666666666666666,,0.5,0.16666666666666666,1.0,1.3,0.3333333333333333,0.3333333333333333,,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,17.0,10.0,0.41818181818181815,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Unibet,3.0,-0.8752103704597212,0.0,3.793847549529647,0.2061873668222634,-0.5989256916217482,0.0,D,0.6944444444444444,0.17857142857142858,0.14285714285714285,11.539420425438522,1.1681639731220592,17.4531249042218,-60.77849794859175,67.74727767017227,-8.556081308882115,-0.8752103704597212,3.793847549529647,-0.5989256916217482,1.38,3.2,1.9,3.0,-0.5,-0.5,20.62,form5_pts(H-A): +8.00 | rank_diff(H-A): -7.00 | injuries30d(A-H): -7.00 | overround: -0.02 | EV: +379.4% | Kelly: 20.6%
2025-10-18 19:00:00+00:00,soccer_spain_la_liga,140,2025,1390900,Atletico Madrid,Osasuna,apifootball,1X2,Draw,Betano,4.85,0.8706539227181671,0.2061855670103093,1.148561987612732,66.44683557078578,3.2226715251831104,3.2226715251831104,0.20926438475215,1.38,4.85,9.5,0.04061927836771469,0.8706539227181671,0.0887267989141182,La Liga,0.9012364346180556,atletico madrid,osasuna,NS,Not Started,530,727,5,12,-7,13,10,3,5,-1,6,11.0,6.0,4.0,-2.0,3.0,2.0,0.0,8.197916666666666,1.0,1.0,3.0,5.0,0.6993988888551566,0.1990042199216734,0.10159689122317009,0.03608640606446656,1.9,1.3,0.375,0.5,,0.125,,0.9,1.0,0.375,0.125,,0.25,0.375,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Betano,Unibet,3.0,-0.9439453958525538,0.0,3.2226715251831104,0.20926438475215,-0.15709541031587715,0.0,D,0.7246376811594204,0.2061855670103093,0.10526315789473684,24.61885193890661,1.148561987612732,11.270551989235354,-68.40184027917057,66.44683557078578,-1.6536358980618644,-0.9439453958525538,3.2226715251831104,-0.15709541031587726,1.94,2.0,1.96,3.3,-0.5,-0.5,20.93,form5_pts(H-A): +7.00 | rank_diff(H-A): -7.00 | overround: -0.04 | EV: +322.3% | Kelly: 20.9%
2025-10-18 14:15:00+00:00,soccer_spain_la_liga,140,2025,1390901,Barcelona,Girona,apifootball,1X2,Away,Betano,16.5,0.2537292887278083,0.06060606060606061,3.941208383998444,19.31232281217477,3.186533264008837,3.186533264008837,0.05735351909735399,1.19,7.5,16.5,0.4141118450680312,0.3321588662041605,0.2537292887278083,La Liga,0.7033197679513888,barcelona,girona,NS,Not Started,529,547,2,18,-16,19,6,13,13,-12,25,12.0,9.0,2.0,-11.0,4.0,1.0,0.0,6.90625,0.0,3.0,2.0,7.802083333333333,0.8124876895804609,0.12891471341343314,0.058597597006105964,0.03427552839317549,2.8,1.1,0.75,0.125,,0.375,,0.6,2.1,0.125,0.375,,0.125,0.5,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Betano,3.0,-0.5072069043690428,0.0,1.4911914965312039,0.05735351909735399,3.186533264008837,0.05139569780659414,A,0.8403361344537815,0.13333333333333333,0.06060606060606061,2.414806559893784,3.010607578920843,3.941208383998444,-42.62242893857503,19.882553287082718,19.31232281217477,-0.5072069043690428,1.4911914965312039,3.186533264008837,1.27,4.1,1.55,4.4,-0.5,-0.5,5.74,form5_pts(H-A): +10.00 | rank_diff(H-A): -16.00 | overround: -0.03 | EV: +318.7% | Kelly: 5.7%
2025-10-18 14:00:00+00:00,soccer_epl,39,2025,1379044,Manchester City,Everton,apifootball,1X2,Away,Unibet,8.0,0.4820573015770105,0.125,2.0744421808954723,35.70573015770105,2.856458412616084,2.856458412616084,0.10201637187914583,1.42,4.8,8.0,0.3505579302258739,0.1673847681971156,0.4820573015770105,Premier League,0.6929031012847222,manchester city,everton,NS,Not Started,50,45,5,8,-3,13,11,2,9,2,7,10.0,7.0,7.0,1.0,2.0,1.0,2.0,8.0625,2.0,2.0,1.0,5.75,0.6787330316742082,0.2007918552036199,0.12047511312217193,0.03755868544600949,2.1,0.9,0.5714285714285714,0.14285714285714285,,0.42857142857142855,0.14285714285714285,1.3,1.0,0.42857142857142855,0.2857142857142857,,0.2857142857142857,0.2857142857142857,,,,,,,,,,,,,,,,,,,12.0,6.0,0.4857142857142857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Unibet,3.0,-0.5022077390792591,0.0,-0.19655311265384523,0.0,2.856458412616084,0.10201637187914583,A,0.7042253521126761,0.20833333333333334,0.125,2.8525955734496526,5.974259251728212,2.0744421808954723,-35.36674218868022,-4.094856513621775,35.70573015770105,-0.5022077390792592,-0.19655311265384512,2.856458412616084,1.77,2.23,1.95,3.13,-0.5,-0.5,10.2,form5_pts(H-A): +3.00 | rank_diff(H-A): -3.00 | injuries30d(A-H): -6.00 | overround: -0.04 | EV: +285.6% | Kelly: 10.2%
2025-10-19 19:00:00+00:00,soccer_spain_la_liga,140,2025,1390904,Getafe,Real Madrid,apifootball,1X2,Home,Unibet,8.5,0.44822798337671255,0.11764705882352941,2.231007516457426,33.05809245531831,2.8099378587020567,2.8099378587020567,0.09366459529006856,8.5,4.5,1.45,0.44822798337671255,0.028205880708972127,0.5235661359143154,La Liga,1.9012364346180557,getafe,real madrid,NS,Not Started,546,541,11,1,10,11,21,-10,-2,10,-12,5.0,-2.0,12.0,4.0,1.0,2.0,2.0,6.291666666666667,4.0,0.0,1.0,7.197916666666667,0.11427320490367773,0.21584938704028017,0.669877408056042,0.029524453459544908,1.1,1.4,0.375,0.25,,0.25,0.25,2.4,1.1,0.875,0.0,,0.375,,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unibet,Unibet,Betano,3.0,2.8099378587020567,0.09366459529006856,-0.8730735368096254,0.0,-0.24082910292424264,0.0,H,0.11764705882352941,0.2222222222222222,0.6896551724137931,2.231007516457426,35.45359956379259,1.9099783798157175,33.05809245531831,-19.40163415132501,-16.60890364994777,2.8099378587020567,-0.8730735368096254,-0.24082910292424264,2.08,1.9,41.0,1.12,-1.0,-1.0,9.37,form5_pts(H-A): -7.00 | rank_diff(H-A): +10.00 | overround: -0.03 | EV: +281.0% | Kelly: 9.4%
2025-10-18 14:00:00+00:00,soccer_epl,39,2025,1379039,Brighton,Newcastle,apifootball,1X2,Draw,Unibet,3.5,0.9938523889034243,0.2857142857142857,1.006185637993343,70.81381031891387,2.4784833611619854,2.478483361161985,0.24784833611619855,2.65,3.5,2.7,0.002479071140552273,0.9938523889034243,0.003668539956023467,Premier League,0.6929031012847222,brighton,newcastle,NS,Not Started,51,34,12,11,1,9,9,0,0,1,-1,8.0,2.0,6.0,0.0,2.0,1.0,2.0,7.958333333333333,1.0,2.0,2.0,6.895833333333333,0.3651468315301391,0.276468315301391,0.3583848531684698,0.03344314665069392,1.4,1.4,0.2857142857142857,0.42857142857142855,,,0.14285714285714285,0.9,0.7,0.2857142857142857,0.42857142857142855,,0.7142857142857143,0.42857142857142855,,,,,,,,,,,,,,,,,,,11.0,10.0,0.4857142857142857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Unibet,3.0,-0.9934304614775364,0.0,2.478483361161985,0.24784833611619855,-0.9900949421187366,0.0,D,0.37735849056603776,0.2857142857142857,0.37037037037037035,403.37688727126476,1.006185637993343,272.58800830506834,-37.487941942548545,70.81381031891387,-36.67018304143469,-0.9934304614775364,2.4784833611619854,-0.9900949421187366,1.91,2.04,3.25,1.95,-0.5,-0.5,24.78,form5_pts(H-A): +2.00 | rank_diff(H-A): +1.00 | injuries30d(A-H): -1.00 | overround: -0.03 | EV: +247.8% | Kelly: 24.8%
2025-10-19 14:15:00+00:00,soccer_spain_la_liga,140,2025,1390902,Celta Vigo,Real Sociedad,apifootball,1X2,Draw,Betano,3.35,0.9914525280740467,0.29850746268656714,1.0086211610580662,69.29450653874795,2.3213659690480566,2.3213659690480566,0.24695382649447406,2.15,3.35,3.65,0.006819395476512437,0.9914525280740467,0.0017280764494406872,La Liga,1.703319767951389,celta vigo,real sociedad,NS,Not Started,538,548,16,19,-3,6,5,1,-3,-5,2,4.0,-1.0,3.0,-4.0,0.0,4.0,1.0,7.197916666666667,1.0,0.0,4.0,7.0,0.4482632206030612,0.2876913206855467,0.2640454587113922,0.03759634449606053,0.9,1.3,0.0,0.75,,,0.125,0.9,1.5,0.125,0.25,,0.125,0.25,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888Sport,Betano,Betano,3.0,-0.9853382997254982,0.0,2.3213659690480566,0.24695382649447406,-0.9936925209595415,0.0,D,0.46511627906976744,0.29850746268656714,0.273972602739726,146.64056417379362,1.0086211610580662,578.6781020733556,-45.8296883593255,69.29450653874795,-27.224452629028534,-0.9853382997254982,2.3213659690480566,-0.9936925209595415,2.08,1.92,2.96,1.78,-0.5,-0.5,24.7,form5_pts(H-A): +1.00 | rank_diff(H-A): -3.00 | overround: -0.04 | EV: +232.1% | Kelly: 24.7%
2025-10-19 12:00:00+00:00,soccer_spain_la_liga,140,2025,1390903,Elche,Athletic Club,apifootball,1X2,Draw,Betano,3.3,0.8817752802310311,0.30303030303030304,1.134075792800625,57.8744977200728,1.9098584247624024,1.9098584247624024,0.20759330703939158,3.65,3.3,2.2,0.07123299727861876,0.8817752802310311,0.04699172249035021,La Liga,1.609569767951389,elche,athletic,NS,Not Started,797,531,7,8,-1,13,13,0,2,0,2,8.0,0.0,4.0,-3.0,3.0,2.0,0.0,6.90625,1.0,1.0,3.0,6.895833333333333,0.2655935613682092,0.29376257545271633,0.44064386317907445,0.03154836031548358,1.4,1.1,0.375,0.5,,0.25,,1.1,1.1,0.5,0.125,,0.125,0.375,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Betano,Unibet,3.0,-0.7399995599330416,0.0,1.9098584247624024,0.20759330703939158,-0.8966182105212295,0.0,D,0.273972602739726,0.30303030303030304,0.45454545454545453,14.038437777489944,1.134075792800625,21.280343579773028,-20.273960546110725,57.8744977200728,-40.75537320551043,-0.7399995599330416,1.9098584247624024,-0.8966182105212295,2.46,1.64,4.18,1.33,-0.5,-0.5,20.76,form5_pts(H-A): +4.00 | rank_diff(H-A): -1.00 | overround: -0.03 | EV: +191.0% | Kelly: 20.8%
2025-10-18 11:30:00+00:00,soccer_epl,39,2025,1379045,Nottingham Forest,Chelsea,apifootball,1X2,Draw,Betano,3.8,0.7084749009570439,0.2631578947368421,1.4114826067220578,44.53170062202018,1.6922046236367665,1.692204623636767,0.15108969853899704,3.85,3.8,1.93,0.180974753115711,0.7084749009570439,0.11055034592724511,Premier League,0.5887364346180556,nottingham forest,chelsea,NS,Not Started,65,49,17,7,10,5,11,-6,-7,4,-11,1.0,-9.0,8.0,5.0,0.0,2.0,3.0,7.854166666666667,2.0,1.0,2.0,7.104166666666667,0.2495024579428124,0.2527853850210073,0.49771215703618027,0.04103286950300866,0.7,1.7,0.14285714285714285,0.2857142857142857,,,0.5714285714285714,1.9,1.3,0.42857142857142855,0.2857142857142857,,0.2857142857142857,0.14285714285714285,,,,,,,,,,,,,,,,,,,9.0,23.0,0.4857142857142857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unibet,Betano,Betano,3.0,-0.3032472005045126,0.0,1.692204623636767,0.15108969853899704,-0.786637832360417,0.0,D,0.2597402597402597,0.2631578947368421,0.5181347150259068,5.525632624350776,1.4114826067220578,9.045652382292095,-7.8765506624548705,44.53170062202018,-40.75843690986617,-0.3032472005045126,1.6922046236367665,-0.786637832360417,1.78,2.21,3.4,1.37,-0.25,-0.25,15.11,form5_pts(H-A): -7.00 | rank_diff(H-A): +10.00 | injuries30d(A-H): +14.00 | overround: -0.04 | EV: +169.2% | Kelly: 15.1%
2025-10-19 13:00:00+00:00,soccer_epl,39,2025,1379047,Tottenham,Aston Villa,apifootball,1X2,Draw,Unibet,3.65,0.7278872566359305,0.273972602739726,1.373839136326813,45.39146538962044,1.6567884867211462,1.6567884867211462,0.1563008006340704,2.15,3.65,3.45,0.23666780772735063,0.7278872566359305,0.035444935636718786,Premier League,1.6512364346180557,tottenham,aston villa,NS,Not Started,47,66,3,13,-10,14,9,5,8,-1,9,8.0,3.0,3.0,-4.0,2.0,2.0,1.0,6.6875,1.0,2.0,2.0,7.0,0.45203266624786864,0.26626581710490893,0.28170151664722254,0.028943954273261463,1.9,0.7,0.5714285714285714,0.2857142857142857,,0.42857142857142855,0.14285714285714285,0.9,1.0,0.2857142857142857,0.42857142857142855,,0.2857142857142857,0.5714285714285714,,,,,,,,,,,,,,,,,,,21.0,10.0,0.4857142857142857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Unibet,3.0,-0.4911642133861962,0.0,1.6567884867211462,0.1563008006340704,-0.8777149720533202,0.0,D,0.46511627906976744,0.273972602739726,0.2898550724637681,4.225331740732707,1.373839136326813,28.21277516904449,-22.84484713424168,45.39146538962044,-25.441013682704934,-0.4911642133861962,1.6567884867211462,-0.8777149720533202,1.87,2.08,2.8,1.76,-0.5,-0.5,15.63,form5_pts(H-A): +5.00 | rank_diff(H-A): -10.00 | injuries30d(A-H): -11.00 | overround: -0.03 | EV: +165.7% | Kelly: 15.6%
