fixture_id,league_id,league_name,season,date,sport_key,home,away,home_norm,away_norm,status_short,status_long,home_form5_pts,home_form5_gd,away_form5_pts,away_form5_gd,p_entry_h,p_entry_d,p_entry_a,odds_h,odds_d,odds_a,odds_source,p_hat_h,p_hat_d,p_hat_a,EV_H,kelly_H,EV_D,kelly_D,EV_A,kelly_A,kelly_best,best_side,best_EV
1379039,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Brighton,Newcastle,brighton,newcastle,NS,Not Started,8.0,2.0,6.0,0.0,0.40368061739388544,0.20688631641436628,0.3894330661917483,2.57,3.55,2.75,apifootball,0.5329436667232564,0.24780274720297937,0.21925358607376416,0.36966522347876896,0.058863889088975954,-0.12030024742942325,0.0,-0.39705263829714854,0.0,0.058863889088975954,H,0.36966522347876896
1379040,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Burnley,Leeds,burnley,leeds,NS,Not Started,1.0,-7.0,7.0,-3.0,0.34659314690823156,0.21228830248129185,0.44111855061047656,3.35,3.35,2.28,apifootball,0.31290722056735293,0.3980538908819827,0.2890388885506644,0.04823918890063239,0.005131828606450242,0.3334805344546421,0.035476652601557655,-0.34099133410448523,0.0,0.035476652601557655,D,0.3334805344546421
1379041,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Crystal Palace,Bournemouth,crystal palace,bournemouth,NS,Not Started,10.0,4.0,11.0,3.0,0.4548940464177598,0.2062563067608476,0.3388496468213925,2.27,3.35,3.45,apifootball,0.5396772646459886,0.24492655710354846,0.21539617825046292,0.22506739074639426,0.044304604477636664,-0.17949603370311262,0.0,-0.2568831850359029,0.0,0.044304604477636664,H,0.22506739074639426
1379042,39,Premier League,2025,2025-10-18 16:30:00+00:00,soccer_epl,Fulham,Arsenal,fulham,arsenal,NS,Not Started,6.0,-3.0,10.0,8.0,0.27149321266968324,0.20814479638009048,0.5203619909502263,5.8,4.2,1.57,apifootball,0.3165906914367853,0.18492154554925355,0.4984877630139611,0.8362260103333548,0.043553438038195565,-0.22332950869313506,0.0,-0.21737421206808105,0.0,0.043553438038195565,H,0.8362260103333548
1379043,39,Premier League,2025,2025-10-19 15:30:00+00:00,soccer_epl,Liverpool,Manchester United,liverpool,manchester united,NS,Not Started,9.0,1.0,7.0,-3.0,0.561122244488978,0.1683366733466934,0.2705410821643287,1.62,4.5,5.1,apifootball,0.5134075577163615,0.31913162528742206,0.16746081699621645,-0.16827975649949434,0.0,0.4360923137933992,0.031149450985242817,-0.14594983331929612,0.0,0.031149450985242817,D,0.4360923137933992
1379045,39,Premier League,2025,2025-10-18 11:30:00+00:00,soccer_epl,Nottingham Forest,Chelsea,nottingham forest,chelsea,NS,Not Started,1.0,-9.0,8.0,5.0,0.3198263386396527,0.18813314037626627,0.4920405209840811,3.75,3.75,1.95,apifootball,0.21915548843154978,0.2150921637730293,0.5657523477954209,-0.1781669183816883,0.0,-0.19340438585114006,0.0,0.10321707820107084,0.0271623890002818,0.0271623890002818,A,0.10321707820107084
1379046,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Sunderland,Wolves,sunderland,wolves,NS,Not Started,8.0,0.0,1.0,-5.0,0.44378923823806005,0.1947741656711486,0.36143659609079126,2.43,3.15,3.15,apifootball,0.553642899719703,0.25803172243624156,0.1883253778440555,0.3453522463188785,0.06037626683896477,-0.18720007432583907,0.0,-0.4067750597912252,0.0,0.06037626683896477,H,0.3453522463188785
1379047,39,Premier League,2025,2025-10-19 13:00:00+00:00,soccer_epl,Tottenham,Aston Villa,tottenham,aston villa,NS,Not Started,8.0,3.0,3.0,-4.0,0.4582571602681292,0.20048750761730652,0.3412553321145643,2.15,3.65,3.45,apifootball,0.5919439178482797,0.2550891819724575,0.15296690017926268,0.27267942337380124,0.05927813551604378,-0.06892448580053012,0.0,-0.47226419438154377,0.0,0.05927813551604378,H,0.27267942337380124
1379048,39,Premier League,2025,2025-10-20 19:00:00+00:00,soccer_epl,West Ham,Brentford,west ham,brentford,NS,Not Started,4.0,-3.0,4.0,-4.0,0.42209807572936064,0.20049658597144632,0.37740533829919304,2.45,3.5,2.88,apifootball,0.43638999652787536,0.33040208191429765,0.23320792155782705,0.06915549149329481,0.011923360602292188,0.15640728670004167,0.015640728670004177,-0.3283611859134581,0.0,0.015640728670004177,D,0.15640728670004167
1379052,39,Premier League,2025,2025-10-25 19:00:00+00:00,soccer_epl,Brentford,Liverpool,brentford,liverpool,NS,Not Started,4.0,-4.0,9.0,1.0,0.19064717285636523,0.19833455885863804,0.6110182682849966,5.16,4.96,1.61,apifootball,0.3551952150111057,0.32276249445591376,0.32204229053298056,0.8328073094573054,0.05004851619334768,0.6009019725013323,0.03793573058720532,-0.48151191224190126,0.0,0.05004851619334768,H,0.8328073094573054
1379053,39,Premier League,2025,2025-10-25 14:00:00+00:00,soccer_epl,Chelsea,Sunderland,chelsea,sunderland,NS,Not Started,8.0,5.0,8.0,0.0,0.624832783376438,0.2078391153125836,0.1673281013109783,1.58,4.75,5.9,apifootball,0.5754792477420873,0.26221663593077,0.16230411632714287,-0.09074278856750206,0.0,0.24552902067115756,0.01636860137807717,-0.042405713669857015,0.0,0.01636860137807717,D,0.24552902067115756
