date,sport_key,league_id,season,fixture_id,home,away,odds_source,recommended_market,recommended_side,recommended_book,recommended_price,model_prob,implied_prob,fair_odds,edge_pp,edge_pct,best_EV,kelly_best,odds_h,odds_d,odds_a,p_hat_h,p_hat_d,p_hat_a,league_name,days_to_match,home_norm,away_norm,status_short,status_long,home_id,away_id,home_rank,away_rank,rank_diff,home_points,away_points,points_diff,home_goalsDiff,away_goalsDiff,goalsdiff_diff,home_form5_pts,home_form5_gd,away_form5_pts,away_form5_gd,home_wins5,home_draws5,home_losses5,home_rest_days,away_wins5,away_draws5,away_losses5,away_rest_days,p_entry_h,p_entry_d,p_entry_a,overround,home_goals_for_avg,home_goals_against_avg,home_win_rate,home_draw_rate,home_loss_rate,home_cs_rate,home_fts_rate,away_goals_for_avg,away_goals_against_avg,away_win_rate,away_draw_rate,away_loss_rate,away_cs_rate,away_fts_rate,home_shots_for_pg,home_shots_on_for_pg,home_shots_against_pg,home_shots_on_against_pg,away_shots_for_pg,away_shots_on_for_pg,away_shots_against_pg,away_shots_on_against_pg,home_corners_for_pg,home_corners_against_pg,away_corners_for_pg,away_corners_against_pg,home_yc_pg,home_rc_pg,away_yc_pg,away_rc_pg,home_possession_avg,away_possession_avg,home_injuries_30d,away_injuries_30d,league_home_win_rate,h2h_games,h2h_pts_home,h2h_gd_home,h2h_win_rate_home,home_expected_goals,away_expected_goals,home_ball_possession,away_ball_possession,home_shots_on_goal,away_shots_on_goal,home_total_shots,away_total_shots,home_shots_off_goal,away_shots_off_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes_pct,away_passes_pct,home_passes_accurate,away_passes_accurate,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls,away_fouls,home_offsides,away_offsides,home_xg,away_xg,src_book_h,src_book_d,src_book_a,bookmaker_count,EV_H,kelly_H,EV_D,kelly_D,EV_A,kelly_A,best_side,imp_h,imp_d,imp_a,fair_h,fair_d,fair_a,edge_pp_h,edge_pp_d,edge_pp_a,edge_price_h,edge_price_d,edge_price_a,ou25_over_odds,ou25_under_odds,ah_home_m0_5_odds,ah_away_p0_5_odds,ah_home_line,ah_away_line,stake,why
2025-10-18 19:00:00+00:00,soccer_spain_la_liga,140,2025,1390900,Atletico Madrid,Osasuna,apifootball,1X2,Draw,Pinnacle,5.13,0.8706539227181671,0.19493177387914232,1.148561987612732,67.57221488390248,3.4664546235441973,3.4664546235441973,0.2098338149845156,1.39,5.13,10.4,0.04061927836771469,0.8706539227181671,0.0887267989141182,La Liga,0.8989855616087963,atletico madrid,osasuna,NS,Not Started,530,727,5,12,-7,13,10,3,5,-1,6,11.0,6.0,4.0,-2.0,3.0,2.0,0.0,8.197916666666666,1.0,1.0,3.0,5.0,0.6993988888551566,0.1990042199216734,0.10159689122317009,0.03608640606446656,1.9,1.3,0.375,0.5,,0.125,,0.9,1.0,0.375,0.125,,0.25,0.375,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1xBet,Pinnacle,1xBet,6.0,-0.9435392030688766,0.0,3.4664546235441973,0.2098338149845156,-0.07724129129317081,0.0,D,0.7194244604316548,0.19493177387914232,0.09615384615384615,24.61885193890661,1.148561987612732,11.270551989235354,-67.880518206394,67.57221488390248,-0.7427047239727952,-0.9435392030688766,3.4664546235441973,-0.07724129129317081,1.94,2.0,1.96,3.3,-0.5,-0.5,20.98,form5_pts(H-A): +7.00 | rank_diff(H-A): -7.00 | overround: -0.04 | EV: +346.6% | Kelly: 21.0%
2025-10-26 14:30:00+00:00,soccer_germany_bundesliga,78,2025,1388372,Bayer Leverkusen,SC Freiburg,apifootball,1X2,Draw,1xBet,4.08,0.9172275518292545,0.24509803921568626,1.0902419993879053,67.21295126135682,2.7422884114633583,2.7422884114633583,0.2225883450863116,1.75,4.08,5.05,0.06972698058778073,0.9172275518292545,0.013045467582964891,Bundesliga,8.711485561608797,bayer leverkusen,freiburg,NS,Not Started,168,160,5,9,-4,11,8,3,4,0,4,8.0,2.0,8.0,2.0,2.0,2.0,1.0,7.0,2.0,1.0,2.0,7.166666666666667,,,,,2.0,1.3,0.5,0.3333333333333333,,0.16666666666666666,,1.5,1.5,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,15.0,5.0,0.41818181818181815,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1xBet,1xBet,1xBet,6.0,-0.8779777839713837,0.0,2.7422884114633583,0.2225883450863116,-0.9341203887060273,0.0,D,0.5714285714285714,0.24509803921568626,0.19801980198019803,14.341650700636311,1.0902419993879053,76.65497565651275,-50.17015908407907,67.21295126135682,-18.497433439723313,-0.8779777839713837,2.7422884114633583,-0.9341203887060273,1.5,2.62,1.62,2.3,-0.5,-0.5,22.26,form5_pts(H-A): +0.00 | rank_diff(H-A): -4.00 | injuries30d(A-H): -10.00 | EV: +274.2% | Kelly: 22.3%
2025-10-19 19:00:00+00:00,soccer_spain_la_liga,140,2025,1390904,Getafe,Real Madrid,apifootball,1X2,Home,1xBet,8.05,0.44822798337671255,0.12422360248447203,2.231007516457426,32.400438089224046,2.6082352661825365,2.6082352661825365,0.09249061227597646,8.05,4.79,1.48,0.44822798337671255,0.028205880708972127,0.5235661359143154,La Liga,1.8989855616087965,getafe,real madrid,NS,Not Started,546,541,11,1,10,11,21,-10,-2,10,-12,5.0,-2.0,12.0,4.0,1.0,2.0,2.0,6.291666666666667,4.0,0.0,1.0,7.197916666666667,0.11427320490367773,0.21584938704028017,0.669877408056042,0.029524453459544908,1.1,1.4,0.375,0.25,,0.25,0.25,2.4,1.1,0.875,0.0,,0.375,,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1xBet,Pinnacle,1xBet,6.0,2.6082352661825365,0.09249061227597646,-0.8648938314040235,0.0,-0.2251221188468131,0.0,H,0.12422360248447203,0.20876826722338204,0.6756756756756757,2.231007516457426,35.45359956379259,1.9099783798157175,32.400438089224046,-18.056238651440992,-15.210953976136022,2.6082352661825365,-0.8648938314040235,-0.2251221188468131,2.08,1.9,41.0,1.12,-1.0,-1.0,9.25,form5_pts(H-A): -7.00 | rank_diff(H-A): +10.00 | overround: -0.03 | EV: +260.8% | Kelly: 9.2%
2025-10-19 14:15:00+00:00,soccer_spain_la_liga,140,2025,1390902,Celta Vigo,Real Sociedad,apifootball,1X2,Draw,1xBet,3.49,0.9914525280740467,0.28653295128939826,1.0086211610580662,70.49195767846484,2.460169322978423,2.460169322978423,0.24700495210626736,2.22,3.49,3.76,0.006819395476512437,0.9914525280740467,0.0017280764494406872,La Liga,1.7010688949421298,celta vigo,real sociedad,NS,Not Started,538,548,16,19,-3,6,5,1,-3,-5,2,4.0,-1.0,3.0,-4.0,0.0,4.0,1.0,7.197916666666667,1.0,0.0,4.0,7.0,0.4482632206030612,0.2876913206855467,0.2640454587113922,0.03759634449606053,0.9,1.3,0.0,0.75,,,0.125,0.9,1.5,0.125,0.25,,0.125,0.25,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1xBet,1xBet,Pinnacle,6.0,-0.9848609420421424,0.0,2.460169322978423,0.24700495210626736,-0.9935024325501031,0.0,D,0.4504504504504504,0.28653295128939826,0.26595744680851063,146.64056417379362,1.0086211610580662,578.6781020733556,-44.363105497393796,70.49195767846484,-26.422937035906997,-0.9848609420421424,2.460169322978423,-0.9935024325501031,2.08,1.92,2.96,1.78,-0.5,-0.5,24.7,form5_pts(H-A): +1.00 | rank_diff(H-A): -3.00 | overround: -0.04 | EV: +246.0% | Kelly: 24.7%
2025-10-27 20:00:00+00:00,soccer_spain_la_liga,140,2025,1390910,Real Betis,Atletico Madrid,apifootball,1X2,Draw,Pinnacle,3.71,0.9009935854507605,0.2695417789757412,1.109885815113442,63.14518064750192,2.342686202022321,2.342686202022321,0.21611496328619198,3.25,3.71,2.29,0.09436192734884703,0.9009935854507605,0.0046444872003925065,La Liga,9.940652228275463,real betis,atletico madrid,NS,Not Started,543,530,4,5,-1,15,13,2,5,5,0,10.0,4.0,11.0,6.0,2.0,2.0,1.0,6.895833333333333,3.0,2.0,0.0,8.197916666666666,,,,,1.6,1.0,0.5,0.375,,0.25,,1.9,1.3,0.375,0.5,,0.125,,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bet365,Pinnacle,1xBet,6.0,-0.6933237361162472,0.0,2.342686202022321,0.21611496328619198,-0.9893641243111012,0.0,D,0.3076923076923077,0.2695417789757412,0.4366812227074236,10.597494435473912,1.109885815113442,215.30902268726024,-21.333038034346067,63.14518064750192,-43.20367355070311,-0.6933237361162472,2.342686202022321,-0.9893641243111012,,,,,,,21.61,form5_pts(H-A): -1.00 | rank_diff(H-A): -1.00 | EV: +234.3% | Kelly: 21.6%
2025-10-25 13:30:00+00:00,soccer_germany_bundesliga,78,2025,1388377,1899 Hoffenheim,1. FC Heidenheim,apifootball,1X2,Draw,188Bet,4.45,0.6918313057768637,0.2247191011235955,1.4454390711288945,46.71122046532682,2.0786493107070436,2.0786493107070436,0.15062676164543792,1.67,4.45,5.2,0.19811298737008032,0.6918313057768637,0.11005570685305596,Bundesliga,7.6698188949421295,1899 hoffenheim,1 heidenheim,NS,Not Started,167,180,12,17,-5,7,3,4,-3,-7,4,7.0,-2.0,3.0,-5.0,2.0,1.0,2.0,5.208333333333333,1.0,0.0,4.0,8.0,,,,,1.5,2.0,0.3333333333333333,0.16666666666666666,,,0.16666666666666666,0.7,1.8,0.16666666666666666,0.0,,,0.5,,,,,,,,,,,,,,,,,,,12.0,18.0,0.41818181818181815,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1xBet,188Bet,1xBet,6.0,-0.6691513110919659,0.0,2.0786493107070436,0.15062676164543792,-0.42771032436410894,0.0,D,0.5988023952095809,0.2247191011235955,0.1923076923076923,5.04762465739802,1.4454390711288945,9.08630754909583,-40.068940783950055,46.71122046532682,-8.225198545463632,-0.6691513110919659,2.0786493107070436,-0.42771032436410905,1.67,2.41,2.25,2.1,-0.5,-0.5,15.06,form5_pts(H-A): +4.00 | rank_diff(H-A): -5.00 | injuries30d(A-H): +6.00 | EV: +207.9% | Kelly: 15.1%
2025-10-25 16:30:00+00:00,soccer_germany_bundesliga,78,2025,1388374,Borussia Dortmund,1.FC Köln,apifootball,1X2,Away,Bet365,5.5,0.5497116233095396,0.18181818181818182,1.819135629658872,36.78934414913578,2.023413928202468,2.023413928202468,0.11241188490013708,1.61,4.8,5.5,0.1459336742815318,0.3043547024089286,0.5497116233095396,Bundesliga,7.7948188949421295,borussia dortmund,1 köln,NS,Not Started,165,192,2,6,-4,14,10,4,8,2,6,13.0,8.0,7.0,1.0,4.0,1.0,0.0,7.0,2.0,1.0,2.0,5.125,,,,,2.0,0.7,0.6666666666666666,0.3333333333333333,,0.6666666666666666,,1.8,1.5,0.5,0.16666666666666666,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,13.0,8.0,0.41818181818181815,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1xBet,188Bet,Bet365,6.0,-0.7650467844067338,0.0,0.4609025715628572,0.030322537602819555,2.023413928202468,0.11241188490013708,A,0.6211180124223602,0.20833333333333334,0.18181818181818182,6.852428028851131,3.285640051180835,1.819135629658872,-47.51843381408284,9.602136907559524,36.78934414913578,-0.7650467844067338,0.4609025715628572,2.023413928202468,1.53,2.55,1.95,2.68,-0.5,-0.5,11.24,form5_pts(H-A): +6.00 | rank_diff(H-A): -4.00 | injuries30d(A-H): -5.00 | EV: +202.3% | Kelly: 11.2%
2025-10-19 12:00:00+00:00,soccer_spain_la_liga,140,2025,1390903,Elche,Athletic Club,apifootball,1X2,Draw,1xBet,3.38,0.8817752802310311,0.2958579881656805,1.134075792800625,58.59172920653506,1.9804004471808851,1.9804004471808851,0.20802525705681568,3.85,3.38,2.2,0.07123299727861876,0.8817752802310311,0.04699172249035021,La Liga,1.6073188949421298,elche,athletic,NS,Not Started,797,531,7,8,-1,13,13,0,2,0,2,8.0,0.0,4.0,-3.0,3.0,2.0,0.0,6.90625,1.0,1.0,3.0,6.895833333333333,0.2655935613682092,0.29376257545271633,0.44064386317907445,0.03154836031548358,1.4,1.1,0.375,0.5,,0.25,,1.1,1.1,0.5,0.125,,0.125,0.375,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188Bet,1xBet,1xBet,6.0,-0.7257529604773177,0.0,1.9804004471808851,0.20802525705681568,-0.8966182105212295,0.0,D,0.2597402597402597,0.2958579881656805,0.45454545454545453,14.038437777489944,1.134075792800625,21.280343579773028,-18.850726246164097,58.59172920653506,-40.75537320551043,-0.7257529604773177,1.9804004471808851,-0.8966182105212295,2.46,1.64,4.18,1.33,-0.5,-0.5,20.8,form5_pts(H-A): +4.00 | rank_diff(H-A): -1.00 | overround: -0.03 | EV: +198.0% | Kelly: 20.8%
2025-10-26 17:30:00+00:00,soccer_spain_la_liga,140,2025,1390914,Osasuna,Celta Vigo,apifootball,1X2,Draw,Bet365,3.4,0.8493249182458819,0.29411764705882354,1.1774057001239393,55.520727118705835,1.887704722035998,1.8877047220359984,0.19663590854541646,2.58,3.4,3.03,0.1480543282517683,0.8493249182458819,0.0026207535023498756,La Liga,8.836485561608797,osasuna,celta vigo,NS,Not Started,727,538,12,16,-4,10,6,4,-1,-3,2,4.0,-2.0,4.0,-1.0,1.0,1.0,3.0,5.0,0.0,4.0,1.0,7.197916666666667,,,,,0.9,1.0,0.375,0.125,,0.25,0.375,0.9,1.3,0.0,0.75,,,0.125,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1xBet,Bet365,Pinnacle,6.0,-0.6180198331104377,0.0,1.8877047220359984,0.19663590854541646,-0.9920591168878798,0.0,D,0.38759689922480617,0.29411764705882354,0.33003300330033003,6.75427737782503,1.1774057001239393,381.5696512866848,-23.954257097303785,55.520727118705835,-32.74122497979802,-0.6180198331104377,1.887704722035998,-0.9920591168878798,,,,,,,19.66,form5_pts(H-A): +0.00 | rank_diff(H-A): -4.00 | EV: +188.8% | Kelly: 19.7%
2025-10-26 13:00:00+00:00,soccer_spain_la_liga,140,2025,1390913,Mallorca,Levante,apifootball,1X2,Draw,1xBet,3.52,0.7910451347019422,0.2840909090909091,1.2641503703537598,50.69542256110331,1.7844788741508366,1.7844788741508366,0.17703163434036076,2.19,3.52,3.66,0.07331608669136239,0.7910451347019422,0.13563877860669557,La Liga,8.648985561608797,mallorca,levante,NS,Not Started,798,539,20,13,7,5,8,-3,-6,-1,-5,4.0,-2.0,8.0,3.0,1.0,1.0,3.0,7.0,1.0,2.0,2.0,7.0,,,,,0.9,1.6,0.125,0.25,,0.125,0.25,1.6,1.8,0.25,0.25,,0.25,0.125,,,,,,,,,,,,,,,,,,,1.0,,0.48148148148148145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1xBet,1xBet,1xBet,6.0,-0.8394377701459164,0.0,1.7844788741508366,0.17703163434036076,-0.5035620702994942,0.0,D,0.4566210045662101,0.2840909090909091,0.27322404371584696,13.63957141097403,1.2641503703537598,7.37252288963502,-38.33049178748477,50.69542256110331,-13.75852651091514,-0.8394377701459164,1.7844788741508366,-0.5035620702994942,,,,,,,17.7,form5_pts(H-A): -4.00 | rank_diff(H-A): +7.00 | EV: +178.4% | Kelly: 17.7%
