fixture_id,league_id,league_name,season,date,sport_key,home,away,home_norm,away_norm,status_short,status_long,home_form5_pts,home_form5_gd,away_form5_pts,away_form5_gd,p_entry_h,p_entry_d,p_entry_a,odds_h,odds_d,odds_a,odds_source,p_hat_h,p_hat_d,p_hat_a,EV_H,kelly_H,EV_D,kelly_D,EV_A,kelly_A,kelly_best,best_side,best_EV
1379039,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Brighton,Newcastle,brighton,newcastle,NS,Not Started,8.0,2.0,6.0,0.0,0.40368061739388544,0.20688631641436628,0.3894330661917483,4.1,8.0,4.25,apifootball,0.2992987280827659,0.37032857897497345,0.33037269294226057,0.2271247851393401,0.018316514930591953,1.9626286317997876,0.07009387970713528,0.4040839450046074,0.031083380384969803,0.07009387970713528,D,1.9626286317997876
1379040,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Burnley,Leeds,burnley,leeds,NS,Not Started,1.0,-7.0,7.0,-3.0,0.34659314690823156,0.21228830248129185,0.44111855061047656,4.9,8.0,3.85,apifootball,0.2544977324655923,0.37088627779658345,0.3746159897378242,0.24703888908140237,0.015835826223166823,1.9670902223726676,0.07025322222759527,0.4422715604906231,0.038795750920230083,0.07025322222759527,D,1.9670902223726676
1379041,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Crystal Palace,Bournemouth,crystal palace,bournemouth,NS,Not Started,10.0,4.0,11.0,3.0,0.4548940464177598,0.2062563067608476,0.3388496468213925,3.65,8.05,4.9,apifootball,0.34427048917656405,0.3640510499871389,0.2916784608362971,0.25658728549445886,0.024206347688156486,1.930610952396468,0.06846138129065489,0.4292244580978559,0.027514388339606153,0.06846138129065489,D,1.930610952396468
1379042,39,Premier League,2025,2025-10-18 16:30:00+00:00,soccer_epl,Fulham,Arsenal,fulham,arsenal,NS,Not Started,6.0,-3.0,10.0,8.0,0.27149321266968324,0.20814479638009048,0.5203619909502263,6.9,9.0,3.6,apifootball,0.1982618827403614,0.3682928017796279,0.43344531548001064,0.36800699090849376,0.01559351656391923,2.3146352160166512,0.07233235050052035,0.5604031357280383,0.05388491689692676,0.07233235050052035,D,2.3146352160166512
1379043,39,Premier League,2025,2025-10-19 15:30:00+00:00,soccer_epl,Liverpool,Manchester United,liverpool,manchester united,NS,Not Started,9.0,1.0,7.0,-3.0,0.561122244488978,0.1683366733466934,0.2705410821643287,2.7,9.0,5.6,apifootball,0.4252187850062422,0.3548870102538388,0.21989420473991902,0.14809071951685415,0.02177804698777265,2.193983092284549,0.06856197163389216,0.23140754654354656,0.012576497094757966,0.06856197163389216,D,2.193983092284549
1379044,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Manchester City,Everton,manchester city,everton,NS,Not Started,10.0,7.0,7.0,1.0,0.5208333333333333,0.20833333333333334,0.2708333333333333,5.2,13.0,10.0,apifootball,0.4068642702241756,0.3489972545694802,0.2441384752063442,1.1156942051657133,0.06641036935510197,3.536964309403243,0.07368675644590089,1.441384752063442,0.04003846533509561,0.07368675644590089,D,3.536964309403243
1379045,39,Premier League,2025,2025-10-18 11:30:00+00:00,soccer_epl,Nottingham Forest,Chelsea,nottingham forest,chelsea,NS,Not Started,1.0,-9.0,8.0,5.0,0.3198263386396527,0.18813314037626627,0.4920405209840811,5.0,8.5,3.25,apifootball,0.22558767074398423,0.3788088088815852,0.3956035203744306,0.12793835371992124,0.00799614710749507,2.219874875493474,0.0739958291831158,0.2857114412168995,0.0317457156907666,0.0739958291831158,D,2.219874875493474
1379046,39,Premier League,2025,2025-10-18 14:00:00+00:00,soccer_epl,Sunderland,Wolves,sunderland,wolves,NS,Not Started,8.0,0.0,1.0,-5.0,0.44378923823806005,0.1947741656711486,0.36143659609079126,3.95,9.0,4.85,apifootball,0.32910262309899496,0.3704018856480049,0.3004954912530001,0.29995536124103017,0.02541994586788391,2.3336169708320442,0.07292553033850138,0.45740313257705045,0.029701502115392898,0.07292553033850138,D,2.3336169708320442
1379047,39,Premier League,2025,2025-10-19 13:00:00+00:00,soccer_epl,Tottenham,Aston Villa,tottenham,aston villa,NS,Not Started,8.0,3.0,3.0,-4.0,0.4582571602681292,0.20048750761730652,0.3412553321145643,3.5,8.0,4.7,apifootball,0.34469080414049336,0.36582140430808197,0.28948779155142473,0.2064178144917268,0.02064178144917267,1.9265712344646557,0.06880611551659485,0.36059262029169625,0.02436436623592542,0.06880611551659485,D,1.9265712344646557
1379048,39,Premier League,2025,2025-10-20 19:00:00+00:00,soccer_epl,West Ham,Brentford,west ham,brentford,NS,Not Started,4.0,-3.0,4.0,-4.0,0.42209807572936064,0.20049658597144632,0.37740533829919304,3.8,8.0,4.25,apifootball,0.31249648420253995,0.37094692621975295,0.3165565895777071,0.18748663996965176,0.01673987856871891,1.9675754097580236,0.07027055034850084,0.34536550570525515,0.026566577361942702,0.07027055034850084,D,1.9675754097580236
