sport_key,league_name,season,fixture_id,date,home,away,home_id,away_id,status,goals_home,goals_away,result,source_file,entry_h,entry_d,entry_a,close_h,close_d,close_a,home_form5,away_form5,rank_home,points_home,goalsDiff_home,form_home,rank_away,points_away,goalsDiff_away,form_away,played_home,wins_home,draws_home,losses_home,gf_avg_home,ga_avg_home,clean_sheet_home,fts_home,played_away,wins_away,draws_away,losses_away,gf_avg_away,ga_avg_away,clean_sheet_away,fts_away,injuries30_home,injuries30_away,rank_diff,points_diff,goalsDiff_diff,form5_diff,gf_ga_cross,ga_gf_cross,injuries30_diff,p_entry_h,p_entry_d,p_entry_a,p_close_h,p_close_d,p_close_a,odds_h,odds_d,odds_a,odds_source,p_hat_h,p_hat_d,p_hat_a,home_norm,away_norm,EV_H,kelly_H,EV_D,kelly_D,EV_A,kelly_A,kelly_best,best_side,best_EV
soccer_epl,Premier League,2025,1379039,2025-10-18 14:00:00+00:00,Brighton,Newcastle,51,34,NS,,,,soccer_epl_2025.csv,,,,,,,,,8.0,61.0,7.0,WWWDW,5.0,66.0,21.0,LLWDW,38,16,13,9,1.7,1.6,8,5,38,20,6,12,1.8,1.2,13,7,11.0,10.0,3.0,-5.0,-14.0,,0.5,0.19999999999999996,1.0,,,,,,,4.1,8.0,4.25,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,brighton,newcastle,-0.8546578027110028,0.0,0.32735850855774884,0.011691375305633887,2.394181197577906,0.1841677844290697,0.1841677844290697,A,2.394181197577906
soccer_epl,Premier League,2025,1379043,2025-10-19 15:30:00+00:00,Liverpool,Manchester United,40,33,NS,,,,soccer_epl_2025.csv,,,,,,,,,1.0,84.0,45.0,DLDLW,15.0,42.0,-10.0,WLLLD,38,25,9,4,2.3,1.1,14,1,38,11,9,18,1.2,1.4,10,15,12.0,8.0,-14.0,42.0,55.0,,0.8999999999999999,0.09999999999999987,4.0,,,,,,,2.7,9.0,5.6,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,liverpool,manchester united,-0.9042868456877335,0.0,0.4932783221274675,0.015414947566483359,3.472332872102653,0.18871374304905722,0.18871374304905722,A,3.472332872102653
soccer_germany_bundesliga,Bundesliga,2025,1388362,2025-10-18 16:30:00+00:00,Bayern München,Borussia Dortmund,157,165,NS,,,,soccer_germany_bundesliga_2025.csv,,,,,,,,,1.0,18.0,22.0,WWWWW,2.0,14.0,8.0,DWWWW,6,6,0,0,4.2,0.5,4,0,6,4,2,0,2.0,0.7,4,0,14.0,13.0,-1.0,4.0,14.0,,3.5,1.5,1.0,,,,,,,2.18,10.0,8.11,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,bayern münchen,borussia dortmund,-0.9227204902219478,0.0,0.6591981356971861,0.018311059324921837,5.476896355848663,0.192577227702133,0.192577227702133,A,5.476896355848663
